"","X","Address","City","State","Zip_Code","Rent_Per_Month","Year","Days_on_Trulia","Type","Sqft","Phone_Number","Bedroom_min","Bedroom_max","Bathroom_min","Bathroom_max","Assault","Arrest","Theft","Vandalism","Burglary","Crime_Other","Elementary_School_Count","Elementary_School_Avg_Score","Middle_School_Count","Middle_School_Avg_Score","High_School_Count","High_School_Avg_Score","Latitude","Longitude","EPA_Region","Population","Input_area.sq..miles.","Particulate_Matter","Ozone","NATA._Diesel_PM","NATA._Air_Toxics_Cancer_Risk","NATA._Respiratory_Hazard_Index","Traffic_Proximity_and_Volume","Lead_Paint_Indicator","Superfund_Proximity","RMP_Proximity","Hazardous_Waste_Proximity","Wastewater_Discharge_Indicator","Demographic_Index.","Minority_Population.","Low_Income_Population.","Linguistically_Isolated_Population.","Population_with_Less_Than_High_School_Education.","Population_under_Age_5.","Population_over_Age_64.","URL","STATEFP10","COUNTYFP10","TRACTCE10","BLOCKCE10","GEOID10","NAME10","MTFCC10","UR10","UACE10","UATYPE","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","rent_max","rent_min"
"11",11,"3804 Evans St","Los Angeles","CA","""90027""","$2,395",1961,"180+","Apartment",NA,"(818) 721-9054","1","1",1,"1",0,0,0,0,0,0,2,8,2,7,0,NA,34.106854,-118.274298,9,31627,3.14,"12.2","40",1.51,55,2.7,2000,0.62,0.53,2.1,0.5,"2.1",31,40,22,8,7,5,14,"https://www.trulia.com/c/ca/los-angeles/evans-apartments-3804-evans-st-los-angeles-ca-90027--1049349841",6,37,195201,1006,60371952011006,"Block 1006","G5040","U",51445,"U","S",51119,0,34.1062025,-118.2744741,NA,2395
"12",12,"639 North Broadway","Los Angeles","CA","""90012""","$1,836 - $2,854",NA,"180+","Apartment",NA,"(323) 649-8019","Studio","2",1,"2",0,0,0,0,0,0,2,6,2,4,0,NA,34.059737,-118.239682,9,36243,3.14,"12.4","38.4",2.87,76,4.4,7400,0.33,0.17,3.2,0.52,"2.2",66,82,56,32,32,3,15,"https://www.trulia.com/c/ca/los-angeles/jia-639-north-broadway-los-angeles-ca-90012--2077210188",6,37,207102,1008,60372071021008,"Block 1008","G5040","U",51445,"U","S",22165,0,34.0596858,-118.2402606,2854,1836
"13",13,"1221 W 3rd St","Los Angeles","CA","""90017""","$2,125 - $3,039",NA,"180+","Apartment",NA,"(310) 853-5384","1","2",1,"2",0,0,0,0,0,0,2,2,2,2,0,NA,34.057048,-118.258549,9,81369,3.14,"12.5","38.5",2.55,78,4.3,4900,0.5,0.16,1.9,0.31,"0.28",75,85,65,31,37,5,11,"https://www.trulia.com/c/ca/los-angeles/the-visconti-1221-w-3rd-st-los-angeles-ca-90017--2115505668",6,37,208000,1022,60372080001022,"Block 1022","G5040","U",51445,"U","S",15712,0,34.0574744,-118.2586798,3039,2125
"14",14,"600 S Virgil Ave","Los Angeles","CA","""90005""","$2,000 - $3,645",NA,"169","Apartment",NA,"(213) 996-0407","Studio","2",1,"2",0,0,0,0,0,0,2,6,2,5,0,NA,34.063663,-118.286998,9,133468,3.14,"12.4","38.9",1.92,70,3.6,1900,0.5,0.16,0.61,0.17,"0",79,94,65,43,38,6,9,"https://www.trulia.com/c/ca/los-angeles/next-on-sixth-600-s-virgil-ave-los-angeles-ca-90005--2313738798",6,37,211120,2010,60372111202010,"Block 2010","G5040","U",51445,"U","S",26777,0,34.0627655,-118.2863393,3645,2000
"15",15,"616 Saint Paul Ave","Los Angeles","CA","""90017""","$1,949 - $4,344",NA,"180+","Apartment",NA,"(323) 745-2896","Studio","2",1,"2",0,0,0,0,0,0,2,2,2,1,0,NA,34.052858,-118.261235,9,82804,3.14,"12.5","38.5",2.47,80,4.4,4000,0.52,0.16,1.9,0.32,"0.23",77,86,68,32,38,6,10,"https://www.trulia.com/c/ca/los-angeles/the-piero-616-saint-paul-ave-los-angeles-ca-90017--2000052526",6,37,209200,1024,60372092001024,"Block 1024","G5040","U",51445,"U","S",22463,0,34.0524896,-118.2608724,4344,1949
"16",16,"3183 Wilshire Blvd","Los Angeles","CA","""90010""","$1,838 - $3,022",NA,"180+","Apartment",NA,"(213) 297-2066","Studio","2",1,"2",0,0,0,0,0,0,0,NA,0,NA,0,NA,34.061832,-118.29066,9,140330,3.14,"12.4","38.9",1.87,70,3.6,1500,0.49,0.15,0.49,0.17,"0",79,94,63,42,35,6,9,"https://www.trulia.com/c/ca/los-angeles/wilshire-vermont-3183-wilshire-blvd-los-angeles-ca-90010--2077203061",6,37,211120,2013,60372111202013,"Block 2013","G5040","U",51445,"U","S",33595,0,34.0627412,-118.290773,3022,1838
"17",17,"630 Masselin Ave","Los Angeles","CA","""90036""","$2,126 - $4,236",1990,"180+","Apartment",NA,"(424) 231-5628","Studio","2",1,"2",0,0,0,0,0,0,2,8,2,7,0,NA,34.063543,-118.35247,9,46047,3.14,"12.3","39.6",1.52,65,3.6,2300,0.69,0.095,0.17,0.097,"44",34,45,24,9,5,6,11,"https://www.trulia.com/c/ca/los-angeles/the-preston-miracle-mile-apartments-630-masselin-ave-los-angeles-ca-90036--2077337685",6,37,215101,1002,60372151011002,"Block 1002","G5040","U",51445,"U","S",26519,0,34.0636604,-118.3519706,4236,2126
"18",18,"5900 Center Dr","Los Angeles","CA","""90045""","$2,137 - $4,048",NA,"180+","Apartment",NA,"(424) 206-6575","Studio","2",1,"2",0,0,0,0,0,0,2,5,2,5,0,NA,33.97511,-118.387407,9,24984,3.14,"12.2","38.5",1.5,56,5.7,3400,0.42,0.062,0.84,0.52,"19",38,57,18,4,3,5,16,"https://www.trulia.com/c/ca/los-angeles/altitude-5900-center-dr-los-angeles-ca-90045--2175425403",6,37,276000,1016,60372760001016,"Block 1016","G5040","U",51445,"U","S",16392,0,33.9754275,-118.3885226,4048,2137
"19",19,"1026 South Broadway","Los Angeles","CA","""90015""","$2,247 - $4,491",2016,"180+","Apartment",NA,"(818) 574-7504","Studio","2",1,"2",0,0,0,0,0,0,2,2,2,1,0,NA,34.040487,-118.257842,9,39443,3.14,"12.5","38.2",2.83,89,5.3,5300,0.57,0.13,3.5,0.63,"0.56",68,74,61,18,24,4,12,"https://www.trulia.com/c/ca/los-angeles/broadway-palace-1026-south-broadway-los-angeles-ca-90015--2077213904",6,37,207900,1015,60372079001015,"Block 1015","G5040","U",51445,"U","S",11458,0,34.039867,-118.2581103,4491,2247
"20",20,"7245 Hillside Ave","Los Angeles","CA","""90046""","$2,075 - $3,095",NA,"180+","Apartment",NA,"(323) 649-6832","1","2",1,"2",0,0,0,0,0,0,2,8,2,3,0,NA,34.104637,-118.347584,9,40280,3.14,"12.1","40.6",2.04,63,3.4,3000,0.44,0.12,0.83,0.12,"0.0091",34,32,36,13,7,2,12,"https://www.trulia.com/c/ca/los-angeles/hillside-terrace-7245-hillside-ave-los-angeles-ca-90046--2077401438",6,37,194101,1002,60371941011002,"Block 1002","G5040","U",51445,"U","S",709938,0,34.1107403,-118.348996,3095,2075
"21",21,"1600 Vine St","Los Angeles","CA","""90028""","$2,304 - $25,342",2010,"88","Apartment",NA,"(323) 886-9903","Studio","3",1,"3",0,0,0,0,0,0,2,4,2,3,0,NA,34.099938,-118.32667,9,55576,3.14,"12.2","40.3",2.19,64,3.4,4000,0.46,0.15,1,0.15,"0.0034",51,53,50,21,17,4,9,"https://www.trulia.com/c/ca/los-angeles/1600-vine-1600-vine-st-los-angeles-ca-90028--2077293969",6,37,190700,1000,60371907001000,"Block 1000","G5040","U",51445,"U","S",27791,0,34.1007012,-118.3274152,25342,2304
"22",22,"10000 Santa Monica Blvd","Los Angeles","CA","""90067""","$9,400 - $27,080",NA,"180+","Apartment",NA,"(310) 627-2862","1","3",1.5,"2.5 full, 1",0,0,0,0,0,0,1,8,3,3,0,NA,34.063583,-118.414636,9,25473,3.14,"12","40.2",1.54,60,3.4,2200,0.47,0.065,0.2,0.083,"0.092",20,24,16,7,4,4,23,"https://www.trulia.com/c/ca/los-angeles/ten-thousand-10000-santa-monica-blvd-los-angeles-ca-90067--2077471841",6,37,267901,1001,60372679011001,"Block 1001","G5040","U",51445,"U","S",80359,0,34.0611692,-118.4133892,27080,9400
"23",23,"725 S Bixel St","Los Angeles","CA","""90017""","$1,799 - $4,999",NA,"180+","Apartment",NA,"(310) 504-2860","Studio","3",1,"2.5",0,0,0,0,0,0,2,2,2,1,0,NA,34.050707,-118.264377,9,86646,3.14,"12.5","38.4",2.46,79,4.4,4000,0.52,0.15,1.8,0.3,"0.18",78,87,69,35,40,6,11,"https://www.trulia.com/c/ca/los-angeles/the-medici-725-s-bixel-st-los-angeles-ca-90017--2115506748",6,37,209300,2002,60372093002002,"Block 2002","G5040","U",51445,"U","S",44316,0,34.0504836,-118.2658729,4999,1799
"24",24,"888 N Alameda St","Los Angeles","CA","""90012""","$2,164 - $3,114",NA,"180+","Apartment",NA,"(323) 992-0859","Studio","2",1,"2",0,0,0,0,0,0,3,3,3,3,0,NA,34.057905,-118.237072,9,35937,3.14,"12.4","38.3",2.89,76,4.4,7400,0.33,0.16,3.6,0.6,"2.5",66,82,57,32,32,3,15,"https://www.trulia.com/c/ca/los-angeles/mozaic-at-union-station-888-n-alameda-st-los-angeles-ca-90012--2115486446",6,37,206020,1014,60372060201014,"Block 1014","G5040","U",51445,"U","S",175453,0,34.0558199,-118.2349382,3114,2164
"25",25,"1000 S Hope St","Los Angeles","CA","""90015""","$2,116 - $6,500",NA,"108","Apartment",NA,"(213) 267-9024","Studio","2",1,"2",0,0,0,0,0,0,2,2,2,1,0,NA,34.043338,-118.262008,9,54039,3.14,"12.5","38.3",2.73,84,4.9,5300,0.53,0.14,2.4,0.44,"0.34",73,80,65,24,31,5,11,"https://www.trulia.com/c/ca/los-angeles/packard-lofts-1000-s-hope-st-los-angeles-ca-90015--2115491765",6,37,207900,2010,60372079002010,"Block 2010","G5040","U",51445,"U","S",25535,0,34.0426229,-118.2618365,6500,2116
"26",26,"5550 Wilshire Blvd","Los Angeles","CA","""90036""","$2,990 - $6,890",NA,"180+","Apartment",NA,"(424) 285-1155","1","2",1,"2",0,0,0,0,0,0,2,4,2,7,0,NA,34.062286,-118.349764,9,44902,3.14,"12.3","39.6",1.52,64,3.6,2300,0.69,0.095,0.16,0.098,"48",36,47,25,9,5,6,11,"https://www.trulia.com/c/ca/los-angeles/5550-wilshire-at-miracle-mile-by-windsor-5550-wilshire-blvd-los-angeles-ca-90036--2077337374",6,37,215101,1015,60372151011015,"Block 1015","G5040","U",51445,"U","S",1227,0,34.0623425,-118.3499383,6890,2990
"27",27,"685 Kelton Ave","Los Angeles","CA","""90024""","$3,650 - $3,895",NA,"78","Apartment",NA,"(310) 895-9750","2","2",2,"2",0,0,0,0,0,0,2,9,1,5,0,NA,34.064543,-118.452807,9,43632,3.14,"11.7","40.7",1.55,58,3.2,1600,0.3,0.06,0.37,0.072,"0",44,51,49,7,4,2,7,"https://www.trulia.com/c/ca/los-angeles/685-kelton-ave-685-kelton-ave-los-angeles-ca-90024--2077261448",6,37,265303,2002,60372653032002,"Block 2002","G5040","U",51445,"U","S",30139,0,34.0654872,-118.4536415,3895,3650
"28",28,"1200 South Broadway","Los Angeles","CA","""90015""","$1,937 - $3,547",2017,"180+","Apartment",NA,"(323) 238-8034","Studio","2",1,"2",0,0,0,0,0,0,2,2,2,1,0,NA,34.038057,-118.260276,9,38847,3.14,"12.5","38.1",2.83,85,5.1,6500,0.59,0.13,3.6,0.64,"0.44",69,77,62,16,28,5,9,"https://www.trulia.com/c/ca/los-angeles/axis-1200-south-broadway-los-angeles-ca-90015--2297560841",6,37,207900,1033,60372079001033,"Block 1033","G5040","U",51445,"U","S",15342,0,34.0373554,-118.2602504,3547,1937
"29",29,"7230 Franklin Ave","Los Angeles","CA","""90046""","$2,395 - $2,595",NA,"180+","Apartment",NA,"(323) 210-4756","1","1",1,"1",0,0,0,0,0,0,2,8,2,3,0,NA,34.103419,-118.347001,9,42765,3.14,"12.1","40.6",2.04,63,3.4,3000,0.44,0.12,0.82,0.12,"0.0085",35,33,37,14,7,2,12,"https://www.trulia.com/c/ca/los-angeles/franklin-plaza-7230-franklin-ave-los-angeles-ca-90046--2077401413",6,37,189903,1000,60371899031000,"Block 1000","G5040","U",51445,"U","S",64981,0,34.1025103,-118.347202,2595,2395
"30",30,"10833 Wilshire Blvd","Los Angeles","CA","""90024""","$3,519 - $10,202",NA,"180+","Apartment",NA,"(424) 343-1812","1","2",1,"2",0,0,0,0,0,0,2,9,1,5,0,NA,34.059584,-118.441019,9,46383,3.14,"11.8","40.4",1.65,63,3.5,1900,0.29,0.06,0.33,0.079,"0",39,38,38,9,4,2,14,"https://www.trulia.com/c/ca/los-angeles/legacy-at-westwood-apartments-10833-wilshire-blvd-los-angeles-ca-90024--2077256912",6,37,265202,4007,60372652024007,"Block 4007","G5040","U",51445,"U","S",35212,0,34.0599802,-118.4414719,10202,3519
"31",31,"569 N Rossmore Ave","Los Angeles","CA","""90004""","$3,500 - $3,800",1929,"180+","Apartment",NA,"(323) 870-8611","1","2",1,"2",0,0,0,0,0,0,2,7,0,NA,0,NA,34.08093,-118.327215,9,37986,3.14,"12.3","39.9",1.59,60,3,1800,0.57,0.14,0.47,0.14,"0.029",51,58,44,21,17,6,11,"https://www.trulia.com/c/ca/los-angeles/hermoyne-569-n-rossmore-ave-los-angeles-ca-90004--2115451615",6,37,192300,3006,60371923003006,"Block 3006","G5040","U",51445,"U","S",32897,0,34.0803271,-118.3277862,3800,3500
"32",32,"905 E 2nd St","Los Angeles","CA","""90012""","$2,048 - $4,466",NA,"180+","Apartment",NA,"(213) 296-0266","Studio","2",1,"2",0,0,0,0,0,0,3,3,3,3,0,NA,34.047193,-118.23453,9,38529,3.14,"12.5","38.1",2.95,83,5,3900,0.54,0.14,5.3,0.97,"2.6",67,78,62,20,29,3,12,"https://www.trulia.com/c/ca/los-angeles/the-garey-building-905-e-2nd-st-los-angeles-ca-90012--2124729965",6,37,206031,1023,60372060311023,"Block 1023","G5040","U",51445,"U","S",17263,0,34.0478387,-118.2345352,4466,2048
"33",33,"1420 S Figueroa St","Los Angeles","CA","""90015""","$1,714 - $3,299",NA,"112","Apartment",NA,"(424) 324-3227","Studio","2",0,"2",0,0,0,0,0,0,2,4,2,1,0,NA,34.038666,-118.269229,9,50042,3.14,"12.5","38.3",2.7,74,4.3,7900,0.52,0.13,2,0.33,"0.079",78,87,69,30,40,7,9,"https://www.trulia.com/c/ca/los-angeles/avant-1420-s-figueroa-st-los-angeles-ca-90015--2115494855",6,37,224010,2007,60372240102007,"Block 2007","G5040","U",51445,"U","S",21331,0,34.0386843,-118.2688834,3299,1714
"34",34,"3600 Barham Blvd","Los Angeles","CA","""90068""","$1,715 - $3,050",NA,"180+","Apartment",NA,"(424) 835-7387","Studio","2",1,"2",0,0,0,0,0,0,2,8,2,3,0,NA,34.140192,-118.339901,9,6507,3.14,"11.8","41.9",1.43,51,2.3,5000,0.47,0.22,1.6,0.11,"3.3",23,26,20,7,2,4,11,"https://www.trulia.com/c/ca/los-angeles/ava-toluca-hills-3600-barham-blvd-los-angeles-ca-90068--2077478547",6,37,189701,3007,60371897013007,"Block 3007","G5040","U",51445,"U","S",138573,0,34.1417487,-118.3400466,3050,1715
"35",35,"10700 Wilshire Blvd","Los Angeles","CA","""90024""","$4,845 - $14,662",NA,"180+","Apartment",NA,"(424) 336-9048","1","2",1,"2.5",0,0,0,0,0,0,2,9,1,5,0,NA,34.060767,-118.435984,9,42847,3.14,"11.8","40.4",1.64,63,3.5,1800,0.31,0.06,0.32,0.08,"0",33,35,30,9,4,3,17,"https://www.trulia.com/c/ca/los-angeles/wilshire-victoria-westwood-apartments-10700-wilshire-blvd-los-angeles-ca-90024--2077255374",6,37,265602,2001,60372656022001,"Block 2001","G5040","U",51445,"U","S",26174,0,34.0600862,-118.4366537,14662,4845
"36",36,"740 S Burnside Ave","Los Angeles","CA","""90036""","$2,695 - $3,800",NA,"180+","Apartment",NA,"(323) 800-5130","2","3",2,"2",0,0,0,0,0,0,2,4,2,7,0,NA,34.061178,-118.349818,9,45789,3.14,"12.3","39.6",1.52,64,3.6,2400,0.69,0.095,0.16,0.098,"51",38,49,26,9,5,6,11,"https://www.trulia.com/c/ca/los-angeles/palm-court-740-s-burnside-ave-los-angeles-ca-90036--2115580458",6,37,216200,4000,60372162004000,"Block 4000","G5040","U",51445,"U","S",19516,0,34.0614421,-118.3491666,3800,2695
"37",37,"8501 S Sepulveda Blvd","Los Angeles","CA","""90045""","$1,995 - $2,995",NA,"22","Apartment",NA,"(424) 304-0838","Studio","2",1,"2",0,0,0,0,0,0,2,6,2,5,0,NA,33.96123,-118.396254,9,19200,3.14,"12.1","38.6",1.56,59,7.7,1200,0.79,0.064,0.72,0.63,"12",32,45,19,3,5,6,17,"https://www.trulia.com/c/ca/los-angeles/sepulveda-west-apartments-8501-s-sepulveda-blvd-los-angeles-ca-90045--2115623653",6,37,277000,2009,60372770002009,"Block 2009","G5040","U",51445,"U","S",35109,0,33.9603825,-118.3972363,2995,1995
"38",38,"236 S Los Angeles St","Los Angeles","CA","""90012""","$2,227 - $5,210",2014,"180+","Apartment",NA,"(213) 297-1960","Studio","3",1,"3",0,0,0,0,0,0,2,2,2,6,0,NA,34.049336,-118.244047,9,37721,3.14,"12.5","38.2",2.92,90,5.3,5800,0.52,0.14,4.3,0.72,"1.2",64,72,56,21,22,3,16,"https://www.trulia.com/c/ca/los-angeles/ava-little-tokyo-236-s-los-angeles-st-los-angeles-ca-90012--2115484124",6,37,206200,2005,60372062002005,"Block 2005","G5040","U",51445,"U","S",48136,0,34.0488005,-118.2431227,5210,2227
"39",39,"1248 W Adams Blvd","Los Angeles","CA","""90007""","$2,800 - $4,150",NA,"180+","Apartment",NA,NA,"2","3",2,"3",0,0,0,0,0,0,2,4,2,5,0,NA,34.032738,-118.28781,9,67221,3.14,"12.5","38.3",2.25,62,3.5,6900,0.57,0.11,0.75,0.18,"0",81,87,73,30,43,5,7,"https://www.trulia.com/c/ca/los-angeles/1248-west-adams-blvd-1248-w-adams-blvd-los-angeles-ca-90007--1001649509",6,37,221820,2000,60372218202000,"Block 2000","G5040","U",51445,"U","S",62441,0,34.0305784,-118.2881238,4150,2800
"40",40,"412 S Willaman Dr","Los Angeles","CA","""90048""","$2,175",NA,"180+","Apartment",NA,"(310) 923-9515","1","1",1,"1",0,0,0,0,0,0,2,7,2,7,0,NA,34.071543,-118.380568,9,40740,3.14,"12.1","40.1",1.56,67,3.8,3400,0.51,0.079,0.15,0.083,"8.6",23,24,22,10,5,5,17,"https://www.trulia.com/c/ca/los-angeles/parklane-412-s-willaman-dr-los-angeles-ca-90048--2115645694",6,37,214902,2002,60372149022002,"Block 2002","G5040","U",51445,"U","S",14153,0,34.0714754,-118.3800575,NA,2175
"41",41,"348 Hauser Blvd","Los Angeles","CA","""90036""","$2,359 - $22,637",2005,"180+","Apartment",NA,"(424) 324-3421","1","3",1,"3",0,0,0,0,0,0,2,8,2,7,0,NA,34.068402,-118.350081,9,44108,3.14,"12.3","39.7",1.51,64,3.6,2000,0.69,0.098,0.18,0.099,"28",31,37,24,9,3,5,11,"https://www.trulia.com/c/ca/los-angeles/the-palazzo-communities-348-hauser-blvd-los-angeles-ca-90036--2077337005",6,37,214502,2000,60372145022000,"Block 2000","G5040","U",51445,"U","S",58795,0,34.0686731,-118.3488716,22637,2359
"42",42,"888 S Olive St","Los Angeles","CA","""90014""","$4,030 - $12,400",NA,"180+","Apartment",NA,"(213) 267-9980","1","3",1,"3",0,0,0,0,0,0,2,2,2,1,0,NA,34.043847,-118.257998,9,47867,3.14,"12.5","38.2",2.8,88,5.2,5800,0.51,0.14,3,0.54,"0.52",68,76,61,21,25,4,12,"https://www.trulia.com/c/ca/los-angeles/level-furnished-living-downtown-los-angeles-888-s-olive-st-los-angeles-ca-90014--2115491745",6,37,207710,1046,60372077101046,"Block 1046","G5040","U",51445,"U","S",25539,0,34.0440945,-118.2569956,12400,4030
"43",43,"1249 S Grand Ave","Los Angeles","CA","""90015""","$1,850 - $3,695",NA,"180+","Apartment",NA,"(213) 986-2960","Studio","2",1,"2",0,0,0,0,0,0,2,2,2,1,0,NA,34.039176,-118.26424,9,44132,3.14,"12.5","38.2",2.83,82,4.8,7300,0.57,0.13,2.6,0.45,"0.24",72,81,63,23,32,7,9,"https://www.trulia.com/c/ca/los-angeles/e-on-grand-1249-s-grand-ave-los-angeles-ca-90015--2115494147",6,37,207900,2008,60372079002008,"Block 2008","G5040","U",51445,"U","S",22561,0,34.0398495,-118.2644369,3695,1850
