Address,City,State,Zip_Code,Rent_Per_Month,Year,Days_on_Trulia,Type,Sqft,Phone_Number,Bedroom_min,Bedroom_max,Bathroom_min,Bathroom_max,Assault,Arrest,Theft,Vandalism,Burglary,Crime_Other,Elementary_School_Count,Elementary_School_Avg_Score,Middle_School_Count,Middle_School_Avg_Score,High_School_Count,High_School_Avg_Score,Driving,Transit,Walking,Cycling,Restaurant,Groceries,Nightlife,Cafe,Shopping,Entertainment,Beauty,Active_life,Latitude,Longitude,EPA_Region,Population,Input_area.sq..miles.,Particulate_Matter,Ozone,NATA._Diesel_PM,NATA._Air_Toxics_Cancer_Risk,NATA._Respiratory_Hazard_Index,Traffic_Proximity_and_Volume,Lead_Paint_Indicator,Superfund_Proximity,RMP_Proximity,Hazardous_Waste_Proximity,Wastewater_Discharge_Indicator,Demographic_Index.,Minority_Population.,Low_Income_Population.,Linguistically_Isolated_Population.,Population_with_Less_Than_High_School_Education.,Population_under_Age_5.,Population_over_Age_64.,URL,rent_max,rent_min,Sqft_max,Sqft_min,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,UATYPE,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
11860 Kiowa Avenue #102,Los Angeles,CA,90049,"$4,850",2007.0,11,Multi-Family,"1,800",(310) 447-1104,3,3,2.0,2.0,37.0,2.0,576.0,,,,1.0,2.0,1.0,8.0,1.0,6.0,94.0,2.0,0.0,3.0,178.0,14.0,27.0,36.0,238.0,49.0,220.0,188.0,34.048701,-118.465443,9,47847,3.14,11.6,40.5,1.65,61,3.4,2100.0,0.22,0.053,1.4,0.079,0.0,32,38,27,7,6,5,13,https://www.trulia.com/c/ca/los-angeles/11860-kiowa-ave-102-los-angeles-ca-90049--2352549616,,4850.0,,1800.0,6.0,37.0,264301.0,2005.0,60372643012005.0,Block 2005,G5040,U,51445.0,U,S,22993.0,0.0,34.049502600000004,-118.46533640000001
437 Redfield Avenue,Los Angeles,CA,90042,"$3,600",1933.0,11,Single-Family Home,"1,531",(888) 764-3222,3,3,2.0,2.0,16.0,,169.0,,,,1.0,3.0,2.0,6.0,1.0,7.0,89.0,9.0,0.0,1.0,68.0,11.0,13.0,11.0,101.0,12.0,60.0,27.0,34.102377000000004,-118.187179,9,34514,3.14,11.9,39.8,1.65,54,2.6,1700.0,0.49,0.19,0.71,0.18,0.0029,68,87,50,17,32,6,11,https://www.trulia.com/c/ca/los-angeles/437-redfield-ave-los-angeles-ca-90042--2077368717,,3600.0,,1531.0,6.0,37.0,183702.0,2014.0,60371837022014.0,Block 2014,G5040,U,51445.0,U,S,27723.0,0.0,34.1030745,-118.18684009999998
1701 Butler Avenue,Los Angeles,CA,90025,"$3,900",,11,Multi-Family,"1,200",Phone not provided,3,3,2.0,2.0,37.0,2.0,576.0,,,,1.0,7.0,1.0,2.0,1.0,6.0,86.0,7.0,2.0,2.0,339.0,19.0,45.0,60.0,399.0,87.0,328.0,254.0,34.043565,-118.450317,9,50074,3.14,11.7,40.3,1.92,64,3.8,4600.0,0.2,0.054000000000000006,1.0,0.084,0.0,39,46,31,9,7,4,11,https://www.trulia.com/c/ca/los-angeles/1701-butler-ave-los-angeles-ca-90025--1009785940,,3900.0,,1200.0,6.0,37.0,267300.0,2008.0,60372673002008.0,Block 2008,G5040,U,51445.0,U,S,19320.0,0.0,34.042659,-118.4501035
1248 W Adams Blvd,Los Angeles,CA,"""90007""","$3,195 - $4,495",,180+,Apartment,,,2,3,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,4.0,2.0,5.0,4.0,3.0,,,,,,,,,,,,,34.032738,-118.28781000000001,9,67221,3.14,12.5,38.3,2.25,62,3.5,6900.0,0.57,0.11,0.75,0.18,0.0,81,87,73,30,43,5,7,https://www.trulia.com/c/ca/los-angeles/1248-west-adams-blvd-1248-w-adams-blvd-los-angeles-ca-90007--1001649509,4495.0,3195.0,,,6.0,37.0,221820.0,2000.0,60372218202000.0,Block 2000,G5040,U,51445.0,U,S,62441.0,0.0,34.030578399999996,-118.2881238
3036 S Hoover St,Los Angeles,CA,"""90007""","$1,465 - $4,395",,110,Apartment,,,Studio,3,1.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,3.0,2.0,5.0,4.0,3.0,,,,,,,,,,,,,34.026371999999995,-118.283928,9,52394,3.14,12.6,38.1,2.26,60,3.6,7200.0,0.53,0.1,1.2,0.24,0.0,80,83,75,26,40,4,7,https://www.trulia.com/c/ca/los-angeles/3036-south-hoover-street-3036-s-hoover-st-los-angeles-ca-90007--1004170437,4395.0,1465.0,,,6.0,37.0,224700.0,1000.0,60372247001000.0,Block 1000,G5040,U,51445.0,U,S,34549.0,0.0,34.0263631,-118.28307020000001
3620 S Budlong Ave,Los Angeles,CA,"""90007""","$2,255 - $2,625",,108,Apartment,Lot,,2,3,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,3.0,4.0,5.0,4.0,5.0,,,,,,,,,,,,,34.022213,-118.295897,9,66791,3.14,12.6,38.2,1.7,56,3.2,3600.0,0.58,0.095,0.6,0.17,0.0,80,88,70,23,41,6,7,https://www.trulia.com/c/ca/los-angeles/budlong-avenue-3620-s-budlong-ave-los-angeles-ca-90007--1006043904,2625.0,2255.0,,,6.0,37.0,222600.0,1004.0,60372226001004.0,Block 1004,G5040,U,51445.0,U,S,21311.0,0.0,34.0224921,-118.294859
11728 Dorothy Street,Los Angeles,CA,90049,"$3,800",,445,Apartment,1800,(818) 722-8832,3,3,2.0,2.0,37.0,2.0,572.0,,,,1.0,2.0,1.0,8.0,1.0,6.0,94.0,2.0,0.0,3.0,174.0,12.0,25.0,41.0,231.0,44.0,227.0,184.0,34.052751,-118.465723,9,38914,3.14,11.6,40.6,1.61,60,3.3,2200.0,0.21,0.053,1.5,0.077,0.0,30,35,25,6,5,5,14,https://www.trulia.com/c/ca/los-angeles/west-brent-apartments-11728-dorothy-st-los-angeles-ca-90049--1004335294,,3800.0,,1800.0,6.0,37.0,264301.0,1005.0,60372643011005.0,Block 1005,G5040,U,51445.0,U,S,22990.0,0.0,34.0522447,-118.46550159999998
4051 McLaughlin Ave,Los Angeles,CA,"""90066""","$1,350 - $2,995",,180+,Apartment,Lot,,Studio,3,1.0,2.0,1.0,0.0,5.0,0.0,1.0,0.0,2.0,5.0,2.0,3.0,2.0,6.0,,,,,,,,,,,,,34.003168,-118.420326,9,46114,3.14,11.9,39.4,2.04,59,4.4,5900.0,0.47,0.051,0.19,0.15,99.0,49,62,37,10,18,6,11,https://www.trulia.com/c/ca/los-angeles/4051-mclaughlin-4051-mclaughlin-ave-los-angeles-ca-90066--2077469244,2995.0,1350.0,,,6.0,37.0,272301.0,3000.0,60372723013000.0,Block 3000,G5040,U,51445.0,U,S,67558.0,0.0,34.002126200000006,-118.42030590000002
435 Dalehurst Avenue,Los Angeles,CA,90024,"$9,950",1948.0,1,Single-Family Home,"2,175",Phone not provided,3,3,2.0,2.0,3.0,,177.0,,42.0,,1.0,9.0,1.0,5.0,1.0,6.0,82.0,3.0,0.0,12.0,112.0,4.0,18.0,32.0,76.0,33.0,93.0,29.0,34.074128,-118.435645,9,26118,3.14,11.8,40.6,1.43,57,3.1,890.0,0.37,0.063,0.28,0.073,0.0,35,44,33,8,4,1,16,https://www.trulia.com/c/ca/los-angeles/435-dalehurst-ave-los-angeles-ca-90024--1001863338,,9950.0,,2175.0,6.0,37.0,265100.0,1002.0,60372651001002.0,Block 1002,G5040,U,51445.0,U,S,30601.0,0.0,34.0734917,-118.43590959999999
4219 Don Alegre Place,Los Angeles,CA,90008,"$4,500",1959.0,2,Single-Family Home,"1,939",(310) 670-4000,3,3,2.0,2.0,69.0,,335.0,,,,0.0,0.0,0.0,0.0,1.0,2.0,90.0,8.0,0.0,0.0,57.0,6.0,7.0,10.0,104.0,11.0,51.0,15.0,34.009673,-118.35183700000002,9,29430,3.14,12.4,38.6,1.29,54,3.8,600.0,0.66,0.071,0.58,0.15,20.0,71,96,47,9,17,7,15,https://www.trulia.com/c/ca/los-angeles/4219-don-alegre-pl-los-angeles-ca-90008--1139383147,,4500.0,,1939.0,6.0,37.0,236400.0,1001.0,60372364001001.0,Block 1001,G5040,U,51445.0,U,S,109381.0,0.0,34.0096921,-118.35292609999999
2601 Ivan Hill Terrace,Los Angeles,CA,90039,"$6,600",2006.0,4,Single-Family Home,"1,458",(323) 667-0700,3,3,2.0,2.0,23.0,,316.0,,52.0,,1.0,9.0,1.0,7.0,1.0,7.0,91.0,5.0,0.0,3.0,96.0,8.0,25.0,24.0,142.0,44.0,84.0,89.0,34.104725,-118.26032099999999,9,25090,3.14,12.2,39.9,1.92,56,2.8,3800.0,0.65,1.2,2.3,0.95,3.8,39,53,25,9,11,5,13,https://www.trulia.com/c/ca/los-angeles/2601-ivan-hill-ter-los-angeles-ca-90039--1056838136,,6600.0,,1458.0,6.0,37.0,195100.0,1002.0,60371951001002.0,Block 1002,G5040,U,51445.0,U,S,134428.0,0.0,34.104379200000004,-118.2612494
628 West 76th Street,Los Angeles,CA,90044,"$2,650",,2,Multi-Family,,(323) 255-9400,3,3,2.0,2.0,245.0,,745.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,84.0,14.0,0.0,0.0,87.0,25.0,13.0,7.0,90.0,1.0,57.0,7.0,33.970679,-118.28483500000002,9,63790,3.14,12.6,37.3,2.0,55,3.7,5700.0,0.65,0.1,0.61,0.22,0.009000000000000001,85,99,72,20,45,9,7,https://www.trulia.com/c/ca/los-angeles/628-w-76th-st-los-angeles-ca-90044--2349359773,,2650.0,,,6.0,37.0,237720.0,2003.0,60372377202003.0,Block 2003,G5040,U,51445.0,U,S,43716.0,0.0,33.9702658,-118.28488770000001
702 South Serrano Avenue #402,Los Angeles,CA,90005,"$4,150",2007.0,4,Multi-Family,"1,500",(213) 434-2433,3,3,2.0,2.0,168.0,,1140.0,,189.0,,1.0,4.0,0.0,0.0,1.0,5.0,67.0,26.0,0.0,5.0,737.0,57.0,128.0,147.0,676.0,67.0,516.0,95.0,34.059399,-118.306568,9,110807,3.14,12.4,39.0,1.76,68,3.5,1500.0,0.49,0.14,0.22,0.15,0.049,75,92,58,40,28,6,10,https://www.trulia.com/c/ca/los-angeles/702-s-serrano-ave-402-los-angeles-ca-90005--2115454394,,4150.0,,1500.0,6.0,37.0,212502.0,1006.0,60372125021006.0,Block 1006,G5040,U,51445.0,U,S,25692.0,0.0,34.0586837,-118.30595759999999
6203 Whitworth Drive,Los Angeles,CA,90035,"$3,900",,5,Multi-Family,"1,800",(310) 721-0092,3,3,2.0,2.0,217.0,,1227.0,,292.0,,1.0,4.0,1.0,5.0,1.0,6.0,93.0,2.0,0.0,2.0,240.0,14.0,35.0,64.0,464.0,108.0,512.0,136.0,34.056079,-118.36724,9,45049,3.14,12.2,39.6,1.51,63,3.6,2600.0,0.66,0.08199999999999999,0.15,0.09300000000000001,67.0,36,46,27,9,7,6,14,https://www.trulia.com/c/ca/los-angeles/6203-whitworth-dr-los-angeles-ca-90035--1042496347,,3900.0,,1800.0,6.0,37.0,216800.0,1002.0,60372168001002.0,Block 1002,G5040,U,51445.0,U,S,28068.0,0.0,34.057277500000005,-118.3670635
1126 East 111th Drive,Los Angeles,CA,90059,"$2,500",,9,Single-Family Home,"1,359",(818) 970-7675,3,3,2.0,2.0,98.0,,300.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,86.0,13.0,0.0,0.0,68.0,12.0,5.0,7.0,32.0,10.0,11.0,10.0,33.933662,-118.255703,9,45043,3.14,12.6,36.9,2.21,53,3.6,4100.0,0.64,0.14,0.44,0.25,0.42,85,99,70,14,45,10,6,https://www.trulia.com/c/ca/los-angeles/1126-e-111th-dr-los-angeles-ca-90059--2115659436,,2500.0,,1359.0,6.0,37.0,240900.0,2005.0,60372409002005.0,Block 2005,G5040,U,51445.0,U,S,28215.0,0.0,33.9332585,-118.25704350000001
2626 Creston Drive,Los Angeles,CA,90068,"$8,250",1940.0,13,Single-Family Home,"1,600",(323) 309-6906,3,3,2.0,2.0,74.0,,558.0,,95.0,,1.0,6.0,1.0,3.0,1.0,7.0,91.0,4.0,0.0,3.0,83.0,5.0,68.0,15.0,52.0,58.0,38.0,27.0,34.11655,-118.32396000000001,9,19091,3.14,12.1,40.7,1.76,57,2.9,4000.0,0.55,0.16,1.6,0.15,0.077,30,32,28,6,6,3,11,https://www.trulia.com/c/ca/los-angeles/2626-creston-dr-los-angeles-ca-90068--1001809055,,8250.0,,1600.0,6.0,37.0,189400.0,3001.0,60371894003001.0,Block 3001,G5040,U,51445.0,U,S,171389.0,0.0,34.117949200000005,-118.3230572
547 North Martel Avenue,Los Angeles,CA,90036,"$5,000",,12,Single-Family Home,"2,900",(323) 493-6710,3,3,2.0,2.0,19.0,,229.0,,48.0,,1.0,4.0,1.0,4.0,1.0,6.0,88.0,3.0,0.0,3.0,279.0,29.0,91.0,86.0,969.0,151.0,466.0,185.0,34.081668,-118.35115400000001,9,41569,3.14,12.2,40.1,1.6,62,3.4,1900.0,0.66,0.1,0.35,0.1,4.3,28,27,29,12,5,4,14,https://www.trulia.com/c/ca/los-angeles/547-n-martel-ave-los-angeles-ca-90036--1058667638,,5000.0,,2900.0,6.0,37.0,192002.0,3011.0,60371920023011.0,Block 3011,G5040,U,51445.0,U,S,18327.0,0.0,34.0810315,-118.35166299999999
1529 South Beverly Drive #1,Los Angeles,CA,90035,"$5,800",2008.0,13,,"2,000",(310) 275-2211,3,3,2.0,2.0,2.0,,18.0,,17.0,,1.0,9.0,1.0,7.0,1.0,6.0,93.0,2.0,0.0,2.0,165.0,15.0,14.0,38.0,343.0,53.0,378.0,101.0,34.051608,-118.39540600000001,9,36419,3.14,12.1,39.8,1.49,61,3.5,2100.0,0.59,0.07,0.15,0.094,27.0,24,27,22,9,7,6,16,https://www.trulia.com/c/ca/los-angeles/1529-s-beverly-dr-1-los-angeles-ca-90035--2349544902,,5800.0,,2000.0,6.0,37.0,269100.0,1005.0,60372691001005.0,Block 1005,G5040,U,51445.0,U,S,34435.0,0.0,34.0509025,-118.39587649999999
7024 Treasure Trail,Los Angeles,CA,90068,"$5,500",2006.0,15,Single-Family Home,"2,008",(310) 729-7492,3,3,2.0,2.0,74.0,,558.0,,95.0,,1.0,8.0,1.0,3.0,1.0,7.0,91.0,4.0,0.0,3.0,26.0,1.0,11.0,1.0,30.0,12.0,33.0,26.0,34.123888,-118.346651,9,7342,3.14,11.9,41.4,1.52,51,2.4,3800.0,0.5,0.14,1.4,0.11,1.0,21,25,17,5,2,5,12,https://www.trulia.com/c/ca/los-angeles/7024-treasure-trl-los-angeles-ca-90068--1059233249,,5500.0,,2008.0,6.0,37.0,143700.0,2010.0,60371437002010.0,Block 2010,G5040,U,51445.0,U,S,16325.0,0.0,34.124613399999994,-118.3461908
936 North Normandie Avenue,Los Angeles,CA,90029,"$3,400",,23,Single-Family Home,"1,402",Phone not provided,3,3,2.0,2.0,185.0,1.0,1002.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,64.0,29.0,0.0,6.0,363.0,62.0,63.0,46.0,459.0,77.0,250.0,51.0,34.087374,-118.300448,9,92763,3.14,12.3,39.7,2.2,62,3.2,4700.0,0.52,0.2,0.79,0.2,0.0089,71,81,61,36,33,6,10,https://www.trulia.com/c/ca/los-angeles/936-n-normandie-ave-los-angeles-ca-90029--1003188161,,3400.0,,1402.0,6.0,37.0,191500.0,3001.0,60371915003001.0,Block 3001,G5040,U,51445.0,U,S,42822.0,0.0,34.087046,-118.2997528
711 Maltman Avenue,Los Angeles,CA,90026,"$3,600",,24,Single-Family Home,"1,500",(323) 848-4948,3,3,2.0,2.0,23.0,,316.0,,52.0,,1.0,5.0,1.0,7.0,1.0,7.0,79.0,18.0,0.0,2.0,257.0,38.0,61.0,53.0,310.0,56.0,199.0,53.0,34.082139,-118.28198799999998,9,73336,3.14,12.4,39.3,2.13,63,3.3,5100.0,0.59,0.23,0.85,0.25,0.09300000000000001,66,80,52,23,26,6,11,https://www.trulia.com/c/ca/los-angeles/711-maltman-ave-los-angeles-ca-90026--2077284331,,3600.0,,1500.0,6.0,37.0,195903.0,1000.0,60371959031000.0,Block 1000,G5040,U,51445.0,U,S,19780.0,0.0,34.0827107,-118.28226509999999
1042 South Crescent Heights Boulevard,Los Angeles,CA,90035,"$4,000",,42,Multi-Family,,(323) 422-0634,3,3,2.0,2.0,216.0,,1213.0,,291.0,,1.0,4.0,1.0,5.0,1.0,6.0,93.0,2.0,0.0,2.0,278.0,17.0,36.0,74.0,587.0,114.0,597.0,159.0,34.057581,-118.36976399999999,9,42670,3.14,12.2,39.7,1.49,63,3.6,2600.0,0.68,0.081,0.15,0.092,54.0,34,41,26,8,7,6,14,https://www.trulia.com/c/ca/los-angeles/1042-s-crescent-heights-blvd-los-angeles-ca-90035--1051699805,,4000.0,,,6.0,37.0,216800.0,1005.0,60372168001005.0,Block 1005,G5040,U,51445.0,U,S,30150.0,0.0,34.0577398,-118.37030659999999
2410 Tracy Terrace,Los Angeles,CA,90027,"$6,000",,24,Single-Family Home,"2,200",(213) 454-6422,3,3,2.0,2.0,7.0,,164.0,,60.0,,1.0,8.0,1.0,7.0,1.0,7.0,85.0,9.0,1.0,5.0,174.0,10.0,61.0,44.0,240.0,52.0,129.0,94.0,34.103408,-118.273723,9,33405,3.14,12.2,39.9,1.59,56,2.8,1800.0,0.63,0.49,2.1,0.49,1.7,32,41,24,9,8,5,14,https://www.trulia.com/c/ca/los-angeles/2410-tracy-ter-los-angeles-ca-90027--1056637352,,6000.0,,2200.0,6.0,37.0,195202.0,1010.0,60371952021010.0,Block 1010,G5040,U,51445.0,U,S,5620.0,0.0,34.1039338,-118.2736857
1554 Oriole Lane,Los Angeles,CA,90069,"$6,500",1960.0,2,Single-Family Home,"2,070",(818) 516-3422,3,3,2.0,2.0,74.0,,558.0,,95.0,,1.0,10.0,1.0,3.0,2.0,6.0,88.0,4.0,0.0,5.0,105.0,2.0,57.0,24.0,166.0,55.0,146.0,49.0,34.100516,-118.388462,9,17232,3.14,12.0,40.8,1.7,59,3.4,1900.0,0.43,0.09300000000000001,0.23,0.081,0.011000000000000001,22,25,19,4,4,3,15,https://www.trulia.com/c/ca/los-angeles/1554-oriole-ln-los-angeles-ca-90069--1001755180,,6500.0,,2070.0,6.0,37.0,194300.0,2001.0,60371943002001.0,Block 2001,G5040,U,51445.0,U,S,834481.0,0.0,34.102426799999996,-118.3863027
