"Address","City","State","Zip_Code","Rent_Per_Month","Year","Days_on_Trulia","Type","Sqft","Phone_Number","Bedroom_min","Bedroom_max","Bathroom_min","Bathroom_max","Assault","Arrest","Theft","Vandalism","Burglary","Crime_Other","Elementary_School_Count","Elementary_School_Avg_Score","Middle_School_Count","Middle_School_Avg_Score","High_School_Count","High_School_Avg_Score","Driving","Transit","Walking","Cycling","Restaurant","Groceries","Nightlife","Cafe","Shopping","Entertainment","Beauty","Active_life","Latitude","Longitude","EPA_Region","Population","Input_area.sq..miles.","Particulate_Matter","Ozone","NATA._Diesel_PM","NATA._Air_Toxics_Cancer_Risk","NATA._Respiratory_Hazard_Index","Traffic_Proximity_and_Volume","Lead_Paint_Indicator","Superfund_Proximity","RMP_Proximity","Hazardous_Waste_Proximity","Wastewater_Discharge_Indicator","Demographic_Index.","Minority_Population.","Low_Income_Population.","Linguistically_Isolated_Population.","Population_with_Less_Than_High_School_Education.","Population_under_Age_5.","Population_over_Age_64.","URL","rent_max","rent_min","Sqft_max","Sqft_min","STATEFP10","COUNTYFP10","TRACTCE10","BLOCKCE10","GEOID10","NAME10","MTFCC10","UR10","UACE10","UATYPE","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10"
"1050 Wilshire Boulevard","Los Angeles","CA","90017","$2,109 - $3,692",NA,"619","Apartment","597-1,331","(747) 600-2629","1","1",1,1,396,2,1773,NA,NA,NA,0,0,0,0,1,5,43,54,0,5,879,53,258,194,2792,247,320,153,34.052072,-118.262794,9,85273,3.14,12.5,38.5,2.45,79,4.4,3900,0.52,0.15,1.8,0.31,0.2,77,86,68,34,39,6,10,"https://www.trulia.com/c/ca/los-angeles/glo-1050-wilshire-blvd-los-angeles-ca-90017--2077223375",3692,2109,1331,597,6,37,209200,1032,60372092001032,"Block 1032","G5040","U",51445,"U","S",11075,0,34.051718,-118.2626654
"639 North Broadway","Los Angeles","CA","90012","$1,903 - $3,466",NA,"619","Apartment","571-1,367","(323) 649-8019","0","0",1,1,109,NA,171,NA,25,NA,1,6,1,4,1,5,73,13,0,9,494,37,147,114,921,178,132,83,34.059737,-118.239682,9,36243,3.14,12.4,38.4,2.87,76,4.4,7400,0.33,0.17,3.2,0.52,2.2,66,82,56,32,32,3,15,"https://www.trulia.com/c/ca/los-angeles/jia-639-north-broadway-los-angeles-ca-90012--2077210188",3466,1903,1367,571,6,37,207102,1008,60372071021008,"Block 1008","G5040","U",51445,"U","S",22165,0,34.0596858,-118.2402606
"1221 West 3rd Street","Los Angeles","CA","90017","$1,899 - $4,274",NA,"466","Apartment","524-1,976","(310) 853-5384","0","0",1,1,396,2,1773,NA,NA,NA,0,0,0,0,1,5,43,54,0,5,808,57,249,181,2002,215,301,137,34.057048,-118.258549,9,81369,3.14,12.5,38.5,2.55,78,4.3,4900,0.5,0.16,1.9,0.31,0.28,75,85,65,31,37,5,11,"https://www.trulia.com/c/ca/los-angeles/the-visconti-1221-w-3rd-st-los-angeles-ca-90017--2115505668",4274,1899,1976,524,6,37,208000,1022,60372080001022,"Block 1022","G5040","U",51445,"U","S",15712,0,34.0574744,-118.2586798
"1619 North La Brea Avenue","Los Angeles","CA","90028","$2,545 - $7,475",2011,"133","Apartment","773-2,076","(323) 524-2148","1","1",1,1,186,1,1007,NA,NA,NA,1,8,1,3,1,7,66,16,0,8,329,28,225,66,541,230,307,181,34.100714,-118.345002,9,45295,3.14,12.1,40.5,2.05,64,3.5,3100,0.44,0.12,0.82,0.12,0.008,36,34,38,15,8,2,12,"https://www.trulia.com/c/ca/los-angeles/the-avenue-hollywood-1619-n-la-brea-ave-los-angeles-ca-90028--2115555214",7475,2545,2076,773,6,37,189904,1006,60371899041006,"Block 1006","G5040","U",51445,"U","S",19516,0,34.1002938,-118.3456468
"600 South Virgil Avenue","Los Angeles","CA","90005","$2,060 - $3,625",NA,"233","Apartment","447-996","(213) 996-0407","0","0",1,1,226,NA,893,NA,NA,NA,1,6,1,5,1,5,67,26,0,5,569,61,97,111,488,78,332,73,34.063663,-118.286998,9,133468,3.14,12.4,38.9,1.92,70,3.6,1900,0.5,0.16,0.61,0.17,0,79,94,65,43,38,6,9,"https://www.trulia.com/c/ca/los-angeles/next-on-sixth-600-s-virgil-ave-los-angeles-ca-90005--2313738798",3625,2060,996,447,6,37,211120,2010,60372111202010,"Block 2010","G5040","U",51445,"U","S",26777,0,34.0627655,-118.2863393
"3183 Wilshire Boulevard","Los Angeles","CA","90010","$1,838 - $3,022",NA,"284","Apartment","496-1,062","(213) 297-2066","0","0",1,1,169,NA,1147,NA,190,NA,0,0,0,0,1,5,89,8,0,1,694,63,129,134,602,80,440,87,34.061832,-118.29066,9,140330,3.14,12.4,38.9,1.87,70,3.6,1500,0.49,0.15,0.49,0.17,0,79,94,63,42,35,6,9,"https://www.trulia.com/c/ca/los-angeles/wilshire-vermont-3183-wilshire-blvd-los-angeles-ca-90010--2077203061",3022,1838,1062,496,6,37,211120,2013,60372111202013,"Block 2013","G5040","U",51445,"U","S",33595,0,34.0627412,-118.290773
"630 Masselin Avenue","Los Angeles","CA","90036","$2,194 - $5,137",1990,"284","Apartment","486-1,270","(424) 231-5628","0","0",1,1,7,NA,92,NA,21,NA,1,8,1,7,1,6,88,3,0,3,244,18,46,92,583,135,303,126,34.063543,-118.35247,9,46047,3.14,12.3,39.6,1.52,65,3.6,2300,0.69,0.095,0.17,0.097,44,34,45,24,9,5,6,11,"https://www.trulia.com/c/ca/los-angeles/the-preston-miracle-mile-apartments-630-masselin-ave-los-angeles-ca-90036--2077337685",5137,2194,1270,486,6,37,215101,1002,60372151011002,"Block 1002","G5040","U",51445,"U","S",26519,0,34.0636604,-118.3519706
"5900 Center Drive","Los Angeles","CA","90045","$2,179 - $3,947",NA,"619","Apartment","448-1,223","(424) 206-6575","0","0",1,1,33,1,329,NA,NA,NA,1,5,1,5,1,5,95,1,0,0,106,6,6,19,202,13,61,42,33.97511,-118.387407,9,24984,3.14,12.2,38.5,1.5,56,5.7,3400,0.42,0.062,0.84,0.52,19,38,57,18,4,3,5,16,"https://www.trulia.com/c/ca/los-angeles/altitude-5900-center-dr-los-angeles-ca-90045--2175425403",3947,2179,1223,448,6,37,276000,1016,60372760001016,"Block 1016","G5040","U",51445,"U","S",16392,0,33.9754275,-118.3885226
"939 South Hill Street","Los Angeles","CA","90015","$2,135 - $4,830",NA,"386","Apartment","536-1,260","(323) 736-5779","0","0",1,1,396,2,1773,NA,NA,NA,0,0,0,0,1,5,53,38,2,8,944,62,263,207,3809,240,300,153,34.04205,-118.258104,9,42646,3.14,12.5,38.2,2.83,89,5.3,5500,0.54,0.14,3.3,0.59,0.55,68,75,61,20,24,4,13,"https://www.trulia.com/c/ca/los-angeles/south-park-by-windsor-939-s-hill-st-los-angeles-ca-90015--2175057061",4830,2135,1260,536,6,37,207900,1003,60372079001003,"Block 1003","G5040","U",51445,"U","S",12593,0,34.0424823,-118.2580643
"450 North Rossmore Avenue","Los Angeles","CA","90004","$2,750 - $7,750",1929,"319","Apartment","385-1,804","(323) 894-0049","0","0",1,1,22,NA,267,NA,119,NA,1,6,1,3,1,6,77,19,0,1,197,16,49,40,444,137,134,97,34.078554,-118.327237,9,33909,3.14,12.3,39.8,1.46,59,2.9,1600,0.62,0.14,0.37,0.14,0.18,47,55,38,18,15,6,11,"https://www.trulia.com/c/ca/los-angeles/el-royale-450-n-rossmore-ave-los-angeles-ca-90004--2115450256",7750,2750,1804,385,6,37,192300,2001,60371923002001,"Block 2001","G5040","U",51445,"U","S",34440,0,34.0775959,-118.3266056
"1600 Vine Street","Los Angeles","CA","90028","$2,544 - $32,504",2010,"152","Apartment","612-3,183","(323) 886-9903","0","0",1,1,182,1,993,NA,NA,NA,1,4,1,3,1,7,66,16,0,8,412,29,249,85,483,269,285,121,34.099938,-118.32667,9,55576,3.14,12.2,40.3,2.19,64,3.4,4000,0.46,0.15,1,0.15,0.0034,51,53,50,21,17,4,9,"https://www.trulia.com/c/ca/los-angeles/1600-vine-1600-vine-st-los-angeles-ca-90028--2077293969",32504,2544,3183,612,6,37,190700,1000,60371907001000,"Block 1000","G5040","U",51445,"U","S",27791,0,34.1007012,-118.3274152
"10000 Santa Monica Boulevard","Los Angeles","CA","90067","$9,300 - $38,000",NA,"445","Apartment","1,100-2,137","(310) 627-2862","1","1",1,1,5,NA,64,NA,7,NA,1,8,2,3,1,6,97,0,0,3,256,10,56,63,810,75,706,84,34.063583,-118.414636,9,25473,3.14,12,40.2,1.54,60,3.4,2200,0.47,0.065,0.2,0.083,0.092,20,24,16,7,4,4,23,"https://www.trulia.com/c/ca/los-angeles/ten-thousand-10000-santa-monica-blvd-los-angeles-ca-90067--2077471841",38000,9300,2137,1100,6,37,267901,1001,60372679011001,"Block 1001","G5040","U",51445,"U","S",80359,0,34.0611692,-118.4133892
"5535 Westlawn Avenue","Los Angeles","CA","90066","$2,665 - $5,025",NA,"10","Apartment","650-1,633","(424) 343-1814","1","1",1,1,26,5,280,NA,NA,NA,1,8,1,3,1,6,89,7,0,1,54,7,7,13,55,10,22,61,33.980441,-118.41463,9,26595,3.14,11.9,39.1,1.59,55,5.3,2200,0.42,0.055,0.28,0.22,200,42,58,27,6,9,5,13,"https://www.trulia.com/c/ca/los-angeles/avalon-playa-vista-5535-westlawn-ave-los-angeles-ca-90066--2077471828",5025,2665,1633,650,6,37,275602,1026,60372756021026,"Block 1026","G5040","U",51445,"U","S",263926,0,33.9802343,-118.4169855
"888 North Alameda Street","Los Angeles","CA","90012","$2,132 - $3,017",NA,"619","Apartment","644-1,460","(323) 992-0859","0","0",1,1,109,NA,171,NA,25,NA,0,0,0,0,2,4,73,13,0,9,460,40,127,102,786,165,122,72,34.057905,-118.237072,9,35937,3.14,12.4,38.3,2.89,76,4.4,7400,0.33,0.16,3.6,0.6,2.5,66,82,57,32,32,3,15,"https://www.trulia.com/c/ca/los-angeles/mozaic-at-union-station-888-n-alameda-st-los-angeles-ca-90012--2115486446",3017,2132,1460,644,6,37,206020,1014,60372060201014,"Block 1014","G5040","U",51445,"U","S",175453,0,34.0558199,-118.2349382
"1000 South Hope Street","Los Angeles","CA","90015","$2,342 - $3,762",NA,"172","Apartment","790-1,750","(213) 267-9024","0","0",1,1,396,2,1773,NA,NA,NA,0,0,0,0,1,5,53,38,2,8,920,57,247,197,3725,221,303,153,34.043338,-118.262008,9,54039,3.14,12.5,38.3,2.73,84,4.9,5300,0.53,0.14,2.4,0.44,0.34,73,80,65,24,31,5,11,"https://www.trulia.com/c/ca/los-angeles/packard-lofts-1000-s-hope-st-los-angeles-ca-90015--2115491765",3762,2342,1750,790,6,37,207900,2010,60372079002010,"Block 2010","G5040","U",51445,"U","S",25535,0,34.0426229,-118.2618365
"5550 Wilshire Boulevard","Los Angeles","CA","90036","$3,070 - $6,760",NA,"386","Apartment","827-1,933","(424) 285-1155","1","1",1,1,7,NA,92,NA,21,NA,1,4,1,7,1,6,88,3,0,3,231,18,45,89,557,129,279,116,34.062286,-118.349764,9,44902,3.14,12.3,39.6,1.52,64,3.6,2300,0.69,0.095,0.16,0.098,48,36,47,25,9,5,6,11,"https://www.trulia.com/c/ca/los-angeles/5550-wilshire-at-miracle-mile-by-windsor-5550-wilshire-blvd-los-angeles-ca-90036--2077337374",6760,3070,1933,827,6,37,215101,1015,60372151011015,"Block 1015","G5040","U",51445,"U","S",1227,0,34.0623425,-118.3499383
"635 South Hobart Boulevard","Los Angeles","CA","90005","$2,007 - $4,420",2008,"514","Apartment","505-1,194","(213) 817-5629","0","0",1,1,169,NA,1147,NA,190,NA,1,7,0,0,1,5,67,26,0,5,763,56,135,149,696,66,521,96,34.062272,-118.305425,9,112363,3.14,12.4,39,1.76,68,3.5,1500,0.5,0.14,0.23,0.15,0.027,75,92,58,40,28,6,9,"https://www.trulia.com/c/ca/los-angeles/avana-on-wilshire-635-s-hobart-blvd-los-angeles-ca-90005--2115453961",4420,2007,1194,505,6,37,211802,1006,60372118021006,"Block 1006","G5040","U",51445,"U","S",23257,0,34.0626223,-118.3059715
"10833 Wilshire Boulevard","Los Angeles","CA","90024","$3,575 - $10,969",NA,"305","Apartment","693-1,355","(424) 343-1812","1","1",1,1,3,NA,176,NA,42,NA,1,9,1,5,1,6,82,3,0,12,242,9,27,51,221,68,234,102,34.059584,-118.441019,9,46383,3.14,11.8,40.4,1.65,63,3.5,1900,0.29,0.06,0.33,0.079,0,39,38,38,9,4,2,14,"https://www.trulia.com/c/ca/los-angeles/legacy-at-westwood-apartments-10833-wilshire-blvd-los-angeles-ca-90024--2077256912",10969,3575,1355,693,6,37,265202,4007,60372652024007,"Block 4007","G5040","U",51445,"U","S",35212,0,34.0599802,-118.4414719
"905 East 2nd Street","Los Angeles","CA","90012","$1,838 - $4,191",NA,"771","Apartment","411-1,508","(213) 296-0266","0","0",1,1,396,2,1773,NA,NA,NA,0,0,0,0,2,4,73,13,0,9,622,58,173,143,2169,204,174,98,34.047193,-118.23453,9,38529,3.14,12.5,38.1,2.95,83,5,3900,0.54,0.14,5.3,0.97,2.6,67,78,62,20,29,3,12,"https://www.trulia.com/c/ca/los-angeles/the-garey-building-905-e-2nd-st-los-angeles-ca-90012--2124729965",4191,1838,1508,411,6,37,206031,1023,60372060311023,"Block 1023","G5040","U",51445,"U","S",17263,0,34.0478387,-118.2345352
"375 East 2nd Street","Los Angeles","CA","90012","$2,327 - $3,294",NA,"619","Apartment","516-1,115","(323) 629-4993","0","0",1,1,396,2,1773,NA,NA,NA,0,0,1,6,1,5,73,13,0,9,839,62,222,190,2989,240,263,135,34.048127,-118.239884,9,41706,3.14,12.5,38.2,2.9,86,5.1,4400,0.54,0.14,4.5,0.79,2.2,63,75,58,21,27,3,14,"https://www.trulia.com/c/ca/los-angeles/hikari-375-e-2nd-st-los-angeles-ca-90012--2115484682",3294,2327,1115,516,6,37,206200,2001,60372062002001,"Block 2001","G5040","U",51445,"U","S",13621,0,34.0485806,-118.239685
"5901 Center Drive","Los Angeles","CA","90045","$2,760 - $4,885",2018,"99","Apartment","709-1,468","(818) 495-8597","1","1",1,1,33,1,328,NA,NA,NA,1,5,1,5,1,5,95,1,0,0,100,5,7,16,205,16,61,36,33.975131,-118.387124,9,25120,3.14,12.2,38.5,1.5,56,5.7,3400,0.42,0.062,0.84,0.52,19,38,57,18,4,4,5,16,"https://www.trulia.com/c/ca/los-angeles/modera-west-la-5901-center-dr-los-angeles-ca-90045--2345389191",4885,2760,1468,709,6,37,276000,1014,60372760001014,"Block 1014","G5040","U",51445,"U","S",39996,0,33.9758709,-118.3872837
"3600 Barham Boulevard","Los Angeles","CA","90068","$1,660 - $2,970",NA,"646","Apartment","406-1,020","(424) 835-7387","0","0",1,1,22,NA,229,NA,52,NA,1,8,1,3,1,7,91,4,0,3,76,5,20,20,49,36,70,33,34.13982,-118.339323,9,5505,3.14,11.8,41.8,1.41,51,2.3,4500,0.49,0.21,1.6,0.11,3.5,21,22,19,8,2,5,12,"https://www.trulia.com/c/ca/los-angeles/ava-toluca-hills-3600-barham-blvd-los-angeles-ca-90068--2077478547",2970,1660,1020,406,6,37,189701,3007,60371897013007,"Block 3007","G5040","U",51445,"U","S",138573,0,34.1417487,-118.3400466
"740 South Burnside Avenue","Los Angeles","CA","90036","$2,895 - $3,100",NA,"431","Apartment","1,145-1,155","(323) 800-5130","2","2",2,2,7,NA,92,NA,21,NA,1,4,1,7,1,6,88,3,0,3,232,18,45,88,547,117,262,116,34.061178,-118.349818,9,45789,3.14,12.3,39.6,1.52,64,3.6,2400,0.69,0.095,0.16,0.098,51,38,49,26,9,5,6,11,"https://www.trulia.com/c/ca/los-angeles/palm-court-740-s-burnside-ave-los-angeles-ca-90036--2115580458",3100,2895,1155,1145,6,37,216200,4000,60372162004000,"Block 4000","G5040","U",51445,"U","S",19516,0,34.0614421,-118.3491666
"5550 Grosvenor Boulevard","Los Angeles","CA","90066","$2,802 - $5,088",NA,"226","Apartment","764-2,168","(818) 714-8823","1","1",1,1,26,5,280,NA,NA,NA,1,8,1,3,1,6,89,7,0,1,98,7,9,17,156,11,40,67,33.980467,-118.412548,9,24244,3.14,11.9,39.1,1.63,55,5.3,2600,0.48,0.055,0.29,0.23,220,43,59,28,7,11,5,14,"https://www.trulia.com/c/ca/los-angeles/accent-5550-grosvenor-blvd-los-angeles-ca-90066--2077471836",5088,2802,2168,764,6,37,275602,1039,60372756021039,"Block 1039","G5040","U",51445,"U","S",15313,0,33.981133,-118.410828
"900 South Figueroa Street","Los Angeles","CA","90015","$2,850 - $11,390",NA,"86","Apartment","738-1,833","(323) 641-5764","1","1",1,1,396,2,1773,NA,NA,NA,1,4,0,0,1,5,53,38,2,8,937,53,251,201,3632,229,318,153,34.046209,-118.262817,9,69322,3.14,12.5,38.4,2.61,82,4.6,4800,0.53,0.14,2.1,0.37,0.26,75,83,67,29,35,6,11,"https://www.trulia.com/c/ca/los-angeles/apex-the-one-900-s-figueroa-st-los-angeles-ca-90015--2115498091",11390,2850,1833,738,6,37,207710,1029,60372077101029,"Block 1029","G5040","U",51445,"U","S",15636,0,34.0468904,-118.2633173
"236 S Los Angeles Street","Los Angeles","CA","90012","$2,227 - $4,757",2014,"646","Apartment","614-1,610","(213) 297-1960","0","0",1,1,396,2,1773,NA,NA,NA,0,0,1,6,1,5,73,13,0,9,925,61,254,214,3241,260,298,141,34.049515,-118.243916,9,40868,3.14,12.5,38.2,2.9,88,5.2,5400,0.52,0.14,4.2,0.72,1.6,63,72,56,21,23,3,15,"https://www.trulia.com/c/ca/los-angeles/ava-little-tokyo-236-s-los-angeles-st-los-angeles-ca-90012--2115484124",4757,2227,1610,614,6,37,207302,2002,60372073022002,"Block 2002","G5040","U",51445,"U","S",33128,0,34.0497693,-118.2446371
"5217 Hollywood Boulevard","Los Angeles","CA","90027","$1,660 - $1,750",NA,"100","Apartment","417-683","(323) 553-5678","Studio","1",1,1,7,NA,165,NA,60,NA,1,4,1,3,1,7,85,9,1,5,310,47,64,51,337,93,185,55,34.101788,-118.304091,9,67402,3.14,12.2,40.1,2.27,63,3.3,3900,0.51,0.21,1.1,0.21,0.084,55,57,52,29,21,5,12,"https://www.trulia.com/c/ca/los-angeles/guardian-arms-apartments-5217-hollywood-blvd-los-angeles-ca-90027--2077293062",1750,1660,683,417,6,37,190401,1002,60371904011002,"Block 1002","G5040","U",51445,"U","S",11470,0,34.102118,-118.3042579
"130 South Sepulveda Boulevard","Los Angeles","CA","90049","$3,290 - $6,410",NA,"513","Apartment","720-1,100","(424) 324-5723","1","1",1,1,3,NA,176,NA,42,NA,1,9,1,5,1,6,94,2,0,3,27,0,7,14,32,16,34,27,34.071657,-118.464919,9,31846,3.14,11.7,40.8,1.55,53,2.8,1500,0.41,0.06,0.34,0.069,0,41,52,45,5,3,1,7,"https://www.trulia.com/c/ca/los-angeles/villa-bel-air-130-s-sepulveda-blvd-los-angeles-ca-90049--2115649250",6410,3290,1100,720,6,37,265420,2005,60372654202005,"Block 2005","G5040","U",51445,"U","S",20410,0,34.0713004,-118.4641053
"5555 West 6th Street","Los Angeles","CA","90036","$2,391 - $6,081",2002,"2263","Apartment","662-1,149","(424) 324-3322","1","1",1,1,7,NA,92,NA,21,NA,1,8,1,7,1,6,88,3,0,3,211,17,41,81,514,115,241,111,34.064912,-118.347743,9,42773,3.14,12.3,39.6,1.52,64,3.6,2200,0.68,0.097,0.17,0.099,38,34,43,25,9,3,6,11,"https://www.trulia.com/c/ca/los-angeles/villas-at-park-la-brea-apartments-5555-w-6th-st-los-angeles-ca-90036--2115578818",6081,2391,1149,662,6,37,214502,1000,60372145021000,"Block 1000","G5040","U",51445,"U","S",47911,0,34.0658421,-118.3484995
