Address,City,State,Zip_Code,Rent_Per_Month,Year,Days_on_Trulia,Type,Sqft,Phone_Number,Bedroom_min,Bedroom_max,Bathroom_min,Bathroom_max,Assault,Arrest,Theft,Vandalism,Burglary,Crime_Other,Elementary_School_Count,Elementary_School_Avg_Score,Middle_School_Count,Middle_School_Avg_Score,High_School_Count,High_School_Avg_Score,Latitude,Longitude,EPA_Region,Population,Input_area(sq. miles),Particulate_Matter,Ozone,NATA*_Diesel_PM,NATA*_Air_Toxics_Cancer_Risk,NATA*_Respiratory_Hazard_Index,Traffic_Proximity_and_Volume,Lead_Paint_Indicator,Superfund_Proximity,RMP_Proximity,Hazardous_Waste_Proximity,Wastewater_Discharge_Indicator,Demographic_Index%,Minority_Population%,Low_Income_Population%,Linguistically_Isolated_Population%,Population_with_Less_Than_High_School_Education%,Population_under_Age_5%,Population_over_Age_64%,URL
311 1/2 W Vine St,Champaign,IL,61820,"$1,044",NA,13,Single-Family Home,"1,239",(217) 352-3498,2,2,2,2,2,1,2,2,0,3,10,4,6,4,2,4,40.122069,-88.247106,5,16849,3.14,10.3,39.1,2.34,44,2.2,560,0.49,0.048,2.4,0.8,0.66,55,46,63,8,7,4,6,https://www.trulia.com/rental/4041584486-311-1-2-W-Vine-St-Champaign-IL-61820
807 Phoenix Dr,Champaign,IL,61820,"$1,425",1980,63,Single-Family Home,"1,600",(217) 649-0829,3,3,2,2,1,3,4,1,1,0,10,5,6,4,2,4,40.084062,-88.255767,5,7872,3.14,10.4,39.1,0.698,33,1.2,97,0.12,0.04,0.61,0.24,0.031,17,18,16,3,2,6,22,https://www.trulia.com/rental/4039324375-807-Phoenix-Dr-Champaign-IL-61820
533 County Road 1600 N #1600N,Champaign,IL,61822,$975,NA,6,Multi-Family Home,NA,(217) 398-5899,3,3,2,2,0,1,1,0,0,0,10,4,6,4,2,5,40.113124,-88.360076,5,418,3.14,10.3,39.2,0.363,26,0.77,40,0.37,0.034,0.17,0.069,0.00054,24,14,35,0,6,12,11,https://www.trulia.com/rental/3235600965-533-County-Road-1600-N-1600N-Champaign-IL-61822
1903 Karen Ct #2,Champaign,IL,61822,$850,2015,162,Townhome,"1,150",(217) 418-2642,2,2,1,1,1,3,4,1,1,0,10,5,6,4,2,4,40.083176,-88.278961,5,9875,3.14,10.3,39.2,0.719,33,1.2,59,0.1,0.039,0.54,0.17,0.0047,18,20,15,3,3,5,17,https://www.trulia.com/rental/4031436869-1903-Karen-Ct-2-Champaign-IL-61822
1118 W Church St #3,Champaign,IL,61821,$700,NA,17,Multi-Family Home,627,(618) 806-8695,1,1,1,1,1,3,4,1,1,0,10,4,6,4,2,4,40.118341,-88.264633,5,14257,3.14,10.3,39.1,1.72,39,1.8,420,0.65,0.046,2.9,0.44,0.15,37,33,41,3,6,6,10,https://www.trulia.com/rental/4041313765-1118-W-Church-St-Champaign-IL-61821
3703 Summer Sage Ct,Champaign,IL,61822,"$1,200",2005,7,Townhome,"1,342",(217) 369-7429,2,2,2,2,5,1,0,1,2,0,10,4,6,4,2,5,40.127092,-88.306074,5,6416,3.14,10.3,39.3,0.723,30,1.1,380,0.012,0.044,1.6,0.14,0.018,25,28,21,2,2,11,7,https://www.trulia.com/rental/4012910922-3703-Summer-Sage-Ct-Champaign-IL-61822
1330 Mainer Way,Champaign,IL,61822,$830,2014,9,Multi-Family Home,NA,(217) 819-4655,2,2,2,2,2,1,1,1,5,0,10,4,6,4,2,5,40.123312,-88.293675,5,8257,3.14,10.3,39.3,1.02,32,1.3,410,0.11,0.044,1.7,0.16,0.031,37,36,37,4,3,10,8,https://www.trulia.com/rental/4041713043-1330-Mainer-Way-Champaign-IL-61822
911 W Union St #1,Champaign,IL,61821,$975,NA,15,Multi-Family Home,800,(217) 251-7421,2,2,2,2,1,3,4,1,1,0,10,5,6,4,2,4,40.113455,-88.259302,5,14678,3.14,10.3,39.1,1.67,40,1.8,450,0.71,0.046,2.3,0.49,0.18,31,25,37,3,4,5,10,https://www.trulia.com/rental/4041417600-911-W-Union-St-1-Champaign-IL-61821
1804 Valley Rd,Champaign,IL,61820,$900,1968,14,Multi-Family Home,"1,000",(217) 356-4012,2,2,1,1,1,3,2,1,2,1,10,5,6,4,2,4,40.095708,-88.249281,5,13344,3.14,10.4,39.1,1.34,38,1.6,210,0.37,0.044,1.4,0.59,0.24,36,22,45,2,2,3,7,https://www.trulia.com/rental/4041545279-1804-Valley-Rd-Champaign-IL-61820
535 County Road 1600 N #27,Champaign,IL,61822,$800,NA,48,Single-Family Home,NA,(217) 398-5899,2,2,1,1,0,1,1,0,0,0,10,4,6,4,2,5,40.113124,-88.359921,5,418,3.14,10.3,39.2,0.363,26,0.77,40,0.37,0.034,0.17,0.069,0.00054,24,14,35,0,6,12,11,https://www.trulia.com/rental/4017982448-535-County-Road-1600-N-27-Champaign-IL-61822
Melrose Dr and Phoenix Dr,Champaign,IL,61820,$925,NA,5,Multi-Family Home,"1,300",(510) 289-4378,3,3,2,2,1,3,4,1,1,0,10,5,6,4,2,4,40.084056,-88.254774,5,7762,3.14,10.4,39.1,0.697,33,1.2,98,0.12,0.04,0.61,0.24,0.031,17,18,16,3,2,6,22,https://www.trulia.com/rental/4041977266-Multi-Family-Home-Champaign-IL-61820
1616 Valley Rd,Champaign,IL,61820,$900,1968,18,Multi-Family Home,"1,000",(217) 356-4012,2,2,1,1,1,3,2,1,2,1,10,5,6,4,2,4,40.097900,-88.249416,5,16163,3.14,10.4,39.1,1.59,40,1.7,230,0.39,0.044,1.5,0.65,0.33,40,23,53,2,2,2,5,https://www.trulia.com/rental/4037796050-1616-Valley-Rd-Champaign-IL-61820
202 W Columbia Ave,Champaign,IL,61820,"$1,295",NA,149,Multi-Family Home,NA,(217) 764-8052,2,2,1,1,2,1,2,2,0,3,10,4,6,4,2,4,40.121197,-88.245721,5,20571,3.14,10.3,39.1,2.57,46,2.3,540,0.42,0.048,2.3,0.9,0.83,57,45,69,9,8,3,5,https://www.trulia.com/rental/4001084362-202-W-Columbia-Ave-Champaign-IL-61820
212 W Washington St,Champaign,IL,61820,$931,NA,96,Single-Family Home,NA,(217) 384-5555,3,3,2,2,2,1,2,2,0,3,10,4,6,4,2,4,40.120237,-88.246520,5,21354,3.14,10.3,39.1,2.56,46,2.3,520,0.43,0.047,2.2,0.88,0.81,56,43,69,8,7,3,5,https://www.trulia.com/rental/3216817943-212-W-Washington-St-Champaign-IL-61820
802 Maplepark Dr,Champaign,IL,61821,"$1,000",1966,180+,Single-Family Home,"1,073",(217) 714-1234,3,3,1,1,2,1,1,1,5,0,10,4,6,4,2,5,40.107916,-88.294375,5,11075,3.14,10.3,39.2,1.2,34,1.4,270,0.2,0.042,1.3,0.17,0.03,39,40,38,4,5,8,12,https://www.trulia.com/rental/3223881728-802-Maplepark-Dr-Champaign-IL-61821
1114 W Eureka St,Champaign,IL,61821,$850,NA,19,Single-Family Home,888,(217) 251-7421,3,3,1,1,0,1,6,1,0,2,10,4,6,4,2,4,40.125775,-88.264080,5,11865,3.14,10.3,39.1,1.89,39,1.8,510,0.62,0.047,3.5,0.47,0.16,46,42,50,4,9,7,10,https://www.trulia.com/rental/4041335035-1114-W-Eureka-St-Champaign-IL-61821
3321 Ridgewood Dr,Champaign,IL,61821,"$1,050",NA,91,Single-Family Home,NA,(217) 841-4740,3,3,1,1,2,1,1,1,5,0,10,4,6,4,2,5,40.111939,-88.303601,5,9173,3.14,10.3,39.3,1.11,33,1.3,390,0.16,0.042,1.3,0.15,0.03,37,38,36,3,4,9,10,https://www.trulia.com/rental/4038044844-3321-Ridgewood-Dr-Champaign-IL-61821
1006 S Prairie St,Champaign,IL,61820,$850,NA,146,Single-Family Home,"1,476",(217) 356-8750,2,2,1,1,1,3,2,1,2,1,10,5,6,4,2,4,40.104342,-88.248364,5,24615,3.14,10.4,39.1,2.2,44,2.1,290,0.39,0.045,1.7,0.81,0.71,48,27,65,4,3,2,4,https://www.trulia.com/rental/3158890645-1006-S-Prairie-St-Champaign-IL-61820
201 Avondale Ave,Champaign,IL,61820,"$1,125",NA,15,Single-Family Home,"1,300",Phone not provided,2,2,2,2,1,3,2,1,2,1,10,5,6,4,2,4,40.103432,-88.245283,5,25626,3.14,10.4,39.1,2.36,45,2.2,290,0.34,0.046,1.7,0.87,0.81,52,30,71,6,3,1,3,https://www.trulia.com/rental/4011645091-201-Avondale-Ave-Champaign-IL-61820
107 E Daniel St #304,Champaign,IL,61820,"$1,850",NA,143,Multi-Family Home,NA,(217) 384-5555,4,4,2,2,1,3,2,1,2,1,10,5,6,4,2,4,40.107920,-88.237723,5,31719,3.14,10.3,39,2.4,46,2.2,300,0.3,0.046,1.9,1.4,0.93,59,37,80,9,6,1,2,https://www.trulia.com/rental/4035335062-107-E-Daniel-St-304-Champaign-IL-61820
1723 Valley Rd #A,Champaign,IL,61820,$825,1968,17,Multi-Family Home,860,(217) 356-4012,2,2,1,1,1,3,2,1,2,1,10,5,6,4,2,4,40.096659,-88.249400,5,14349,3.14,10.4,39.1,1.43,38,1.6,210,0.38,0.044,1.4,0.61,0.26,38,22,48,2,2,3,6,https://www.trulia.com/rental/4041545277-1723-Valley-Rd-A-Champaign-IL-61820
2707 Bonnymeade,Champaign,IL,61822,$850,NA,9,Single-Family Home,NA,(217) 418-2642,3,3,1,1,2,1,1,1,5,0,10,4,6,4,2,5,40.076380,-88.261485,5,5902,3.14,10.4,39.2,0.64,32,1.2,140,0.06,0.039,0.4,0.2,0.0099,16,18,14,3,3,5,25,https://www.trulia.com/rental/4041936871-2707-Bonnymeade-Champaign-IL-61822
412 N Russell St,Champaign,IL,61821,"$1,150",NA,17,Single-Family Home,"1,094",(217) 898-5509,2,2,1,1,0,4,4,1,1,0,10,4,6,4,2,4,40.120120,-88.267267,5,13085,3.14,10.3,39.1,1.73,38,1.8,440,0.63,0.046,3.2,0.42,0.13,38,35,42,3,7,7,11,https://www.trulia.com/rental/4041500077-412-N-Russell-St-Champaign-IL-61821
302 E Clark St #1,Champaign,IL,61820,"$2,045",NA,13,Multi-Family Home,"1,500",(217) 239-4300,4,4,2,2,1,3,2,1,2,1,10,4,6,4,2,4,40.115405,-88.235172,5,34406,3.14,10.3,39,2.39,46,2.2,320,0.3,0.047,2.1,1.5,0.94,62,43,79,9,8,1,3,https://www.trulia.com/rental/4041673434-302-E-Clark-St-1-Champaign-IL-61820
605 N State St,Champaign,IL,61820,"$1,137",1920,31,Single-Family Home,"1,035",(217) 352-3498,3,3,1,1,2,1,2,2,0,3,10,4,6,4,2,4,40.121712,-88.246918,5,17775,3.14,10.3,39.1,2.39,44,2.2,550,0.47,0.048,2.4,0.82,0.7,55,46,65,8,7,4,6,https://www.trulia.com/rental/4040758814-605-N-State-St-Champaign-IL-61820
111 E Healey St,Champaign,IL,61820,$595,NA,47,Multi-Family Home,NA,(309) 212-6165,1,1,1,1,1,3,2,1,2,1,10,4,6,4,2,4,40.111361,-88.238500,5,31561,3.14,10.3,39,2.45,46,2.2,330,0.32,0.047,2,1.4,0.94,59,38,78,9,6,1,2,https://www.trulia.com/rental/4013944310-111-E-Healey-St-Champaign-IL-61820
2429 W Bradley Ave,Champaign,IL,61821,$560,2003,25,Multi-Family Home,550,(217) 403-1722,1,1,1,1,2,1,5,1,0,1,10,4,6,4,2,5,40.127445,-88.287478,5,8274,3.14,10.3,39.2,1.26,34,1.4,440,0.23,0.045,2.9,0.21,0.049,44,44,44,4,7,11,9,https://www.trulia.com/rental/3237408328-2429-W-Bradley-Ave-Champaign-IL-61821
3507 Boulder Ridge Dr,Champaign,IL,61822,"$1,500",2005,40,Townhome,"1,800",(217) 493-3790,4,4,2,2,5,1,0,1,2,0,10,4,6,4,2,5,40.131365,-88.305682,5,6090,3.14,10.3,39.3,0.723,30,1.1,390,0.012,0.044,1.5,0.14,0.017,25,29,21,2,2,11,6,https://www.trulia.com/rental/4040395645-3507-Boulder-Ridge-Dr-Champaign-IL-61822
2701 Arden Dr,Champaign,IL,61821,"$1,000",NA,47,Single-Family Home,NA,(217) 384-8001,3,3,1,1,1,3,3,2,1,0,10,5,6,4,2,5,40.096949,-88.291174,5,12537,3.14,10.3,39.2,1.06,34,1.4,130,0.18,0.041,0.88,0.17,0.018,27,30,25,3,4,6,16,https://www.trulia.com/rental/4040206319-2701-Arden-Dr-Champaign-IL-61821
801 N Randolph St #1,Champaign,IL,61820,"$1,100",NA,33,Multi-Family Home,"1,049",(217) 352-3498,3,3,1,1,2,1,2,2,0,3,10,4,6,4,2,4,40.122909,-88.245249,5,16937,3.14,10.3,39.1,2.46,45,2.2,560,0.45,0.048,2.3,0.88,0.72,57,49,66,9,8,4,6,https://www.trulia.com/rental/4040636127-801-N-Randolph-St-1-Champaign-IL-61820
15 E Taylor St #B,Champaign,IL,61820,$950,NA,31,Multi-Family Home,900,(217) 840-0459,2,2,2,2,1,3,2,1,2,1,10,4,6,4,2,4,40.117157,-88.242583,5,28174,3.14,10.3,39,2.68,47,2.3,380,0.38,0.047,2.1,0.96,0.84,58,39,74,7,7,2,4,https://www.trulia.com/rental/4026896431-15-E-Taylor-St-B-Champaign-IL-61820
4 Flora Ct,Champaign,IL,61821,"$1,400",1946,24,Single-Family Home,"1,916",(217) 766-6099,4,4,2,2,1,3,4,1,1,0,10,4,6,4,2,4,40.115466,-88.266747,5,14234,3.14,10.3,39.1,1.64,38,1.7,380,0.63,0.045,2.7,0.4,0.13,35,32,38,3,6,6,11,https://www.trulia.com/rental/4039711251-4-Flora-Ct-Champaign-IL-61821
1706 Valley Rd,Champaign,IL,61820,$950,1968,33,Multi-Family Home,"1,000",(217) 356-4012,2,2,1,1,1,3,2,1,2,1,10,5,6,4,2,4,40.096846,-88.249288,5,14717,3.14,10.4,39.1,1.47,39,1.7,220,0.39,0.044,1.4,0.63,0.27,39,23,50,2,2,3,6,https://www.trulia.com/rental/4040619309-1706-Valley-Rd-Champaign-IL-61820
311 W Vine St,Champaign,IL,61820,"$1,010",NA,24,Single-Family Home,845,(217) 352-3498,2,2,1,1,2,1,2,2,0,3,10,4,6,4,2,4,40.122119,-88.248204,5,14931,3.14,10.3,39.1,2.16,42,2,560,0.53,0.048,2.5,0.74,0.52,53,47,59,7,8,4,7,https://www.trulia.com/rental/4004333487-311-W-Vine-St-Champaign-IL-61820
907 Newcastle Dr #1,Champaign,IL,61822,$655,NA,25,Multi-Family Home,629,(217) 403-1722,1,1,1,1,5,1,0,1,2,0,10,4,6,4,2,5,40.125687,-88.296677,5,8317,3.14,10.3,39.3,0.937,32,1.3,410,0.1,0.044,1.7,0.15,0.026,32,33,30,3,3,11,7,https://www.trulia.com/rental/3211058656-907-Newcastle-Dr-1-Champaign-IL-61822
201 S Wright St,Champaign,IL,61820,$950,NA,26,Multi-Family Home,NA,(217) 359-6108,1,1,1,1,1,3,2,1,2,1,10,4,6,4,2,4,40.115178,-88.228976,5,36152,3.14,10.3,39,2.3,46,2.2,270,0.25,0.047,2,1.7,1,63,44,81,11,8,1,2,https://www.trulia.com/rental/4038715615-201-S-Wright-St-Champaign-IL-61820
2512 Southmoor Dr,Champaign,IL,61821,"$1,475",NA,27,Single-Family Home,"1,691",(217) 840-0115,3,3,2,2,1,3,3,2,1,0,10,5,6,4,2,5,40.091516,-88.288340,5,11291,3.14,10.3,39.2,0.932,33,1.3,70,0.17,0.04,0.71,0.17,0.01,24,27,20,2,3,6,17,https://www.trulia.com/rental/4040941228-2512-Southmoor-Dr-Champaign-IL-61821
513 N Hickory St #210,Champaign,IL,61820,"$1,155",2008,32,Multi-Family Home,740,(217) 352-3498,2,2,1,1,2,1,2,2,0,3,10,4,6,4,2,4,40.120116,-88.242586,5,25422,3.14,10.3,39,2.64,47,2.3,470,0.38,0.047,2.2,0.96,0.86,60,44,74,8,8,2,5,https://www.trulia.com/rental/4040679176-513-N-Hickory-St-210-Champaign-IL-61820
11 E Columbia Ave #206,Champaign,IL,61820,"$1,065",2014,44,Multi-Family Home,805,(217) 352-3498,2,2,1,1,2,1,2,2,0,3,10,4,6,4,2,4,40.121056,-88.242804,5,22791,3.14,10.3,39,2.63,46,2.3,500,0.38,0.048,2.2,0.96,0.89,60,46,73,9,9,3,5,https://www.trulia.com/rental/4011186712-11-E-Columbia-Ave-206-Champaign-IL-61820
803 N Prospect Ave #B,Champaign,IL,61820,$745,NA,30,Multi-Family Home,NA,(217) 607-0432,2,2,1,1,0,4,4,1,1,0,10,4,6,4,2,4,40.123188,-88.257956,5,13872,3.14,10.3,39.1,1.87,39,1.8,540,0.64,0.047,3.1,0.52,0.2,45,40,50,4,8,6,9,https://www.trulia.com/rental/4008152216-803-N-Prospect-Ave-B-Champaign-IL-61820
3004 Edward Hoffman Dr #1,Champaign,IL,61822,$810,2005,25,Multi-Family Home,968,(217) 403-1722,2,2,1,1,5,1,0,1,2,0,10,4,6,4,2,5,40.126299,-88.295963,5,7967,3.14,10.3,39.3,0.923,32,1.2,410,0.11,0.044,1.8,0.15,0.025,31,32,29,3,3,11,7,https://www.trulia.com/rental/4031480253-3004-Edward-Hoffman-Dr-1-Champaign-IL-61822
11 E Columbia Ave #204,Champaign,IL,61820,"$1,065",2014,39,Multi-Family Home,805,(217) 352-3498,2,2,1,1,2,1,2,2,0,3,10,4,6,4,2,4,40.121217,-88.231300,5,27163,3.14,10.3,39,2.48,46,2.2,460,0.23,0.049,2.4,1.8,1,68,54,81,14,9,1,3,https://www.trulia.com/rental/4040469495-11-E-Columbia-Ave-204-Champaign-IL-61820
405 W Vine St #B,Champaign,IL,61820,$725,1854,33,Multi-Family Home,778,(217) 352-3498,2,2,1,1,2,1,2,2,0,3,10,4,6,4,2,4,40.122118,-88.249203,5,14445,3.14,10.3,39.1,2.08,42,2,550,0.56,0.048,2.6,0.7,0.46,51,45,57,7,8,5,8,https://www.trulia.com/rental/4040686792-405-W-Vine-St-B-Champaign-IL-61820
11 E Columbia Ave #306,Champaign,IL,61820,"$1,100",2014,45,Multi-Family Home,805,(217) 352-3498,2,2,1,1,2,1,2,2,0,3,10,4,6,4,2,4,40.121056,-88.242804,5,22791,3.14,10.3,39,2.63,46,2.3,500,0.38,0.048,2.2,0.96,0.89,60,46,73,9,9,3,5,https://www.trulia.com/rental/4040333528-11-E-Columbia-Ave-306-Champaign-IL-61820
513 N Hickory St #205,Champaign,IL,61820,"$1,290",NA,45,Multi-Family Home,"1,171",(217) 352-3498,2,2,1,1,2,1,2,2,0,3,10,4,6,4,2,4,40.120116,-88.242586,5,25422,3.14,10.3,39,2.64,47,2.3,470,0.38,0.047,2.2,0.96,0.86,60,44,74,8,8,2,5,https://www.trulia.com/rental/4040334437-513-N-Hickory-St-205-Champaign-IL-61820
310 S 1st St,Champaign,IL,61820,"$1,640",NA,28,Multi-Family Home,990,(217) 493-3911,2,2,2,2,1,3,2,1,2,1,10,4,6,4,2,4,40.114193,-88.238663,5,32586,3.14,10.3,39,2.45,46,2.2,330,0.33,0.047,2.1,1.3,0.88,59,40,77,8,7,1,3,https://www.trulia.com/rental/4040932025-310-S-1st-St-Champaign-IL-61820
406 W Maple St,Champaign,IL,61820,"$1,036",NA,25,Single-Family Home,"1,063",(217) 352-3498,3,3,1,1,2,1,2,2,0,3,10,4,6,4,2,4,40.123061,-88.249212,5,13740,3.14,10.3,39.1,2.04,41,2,570,0.57,0.048,2.6,0.7,0.44,52,46,57,7,8,5,8,https://www.trulia.com/rental/4006460862-406-W-Maple-St-Champaign-IL-61820
521 N Hickory St,Champaign,IL,61820,"$1,696",NA,25,Multi-Family Home,"1,600",(217) 352-3498,1,1,1,1,2,1,2,2,0,3,10,4,6,4,2,4,40.120147,-88.242557,5,25387,3.14,10.3,39,2.64,47,2.3,470,0.38,0.047,2.2,0.96,0.86,60,44,74,8,8,2,5,https://www.trulia.com/rental/4004526819-521-N-Hickory-St-Champaign-IL-61820
717 Ashton Ln,Champaign,IL,61820,"$1,425",1977,62,Single-Family Home,"1,612",(217) 840-0388,3,3,2,2,1,3,2,1,2,1,10,4,6,4,2,4,40.090928,-88.254122,5,7813,3.14,10.4,39.1,0.825,35,1.3,100,0.24,0.041,0.82,0.28,0.055,18,17,18,2,2,6,19,https://www.trulia.com/rental/4039497195-717-Ashton-Ln-Champaign-IL-61820
59 E John St,Champaign,IL,61820,"$1,225",NA,51,Multi-Family Home,725,(773) 985-3355,3,3,2,2,1,3,2,1,2,1,10,5,6,4,2,4,40.108970,-88.239141,5,30080,3.14,10.3,39,2.47,47,2.3,320,0.32,0.046,1.9,1.2,0.9,58,36,78,8,6,1,3,https://www.trulia.com/rental/4002117208-59-E-John-St-Champaign-IL-61820
