Address,City,State,Zip_Code,Rent_Per_Month,Year,Days_on_Trulia,Type,Sqft,Phone_Number,Bedroom_min,Bedroom_max,Bathroom_min,Bathroom_max,Assault,Arrest,Theft,Vandalism,Burglary,Crime_Other,Elementary_School_Count,Elementary_School_Avg_Score,Middle_School_Count,Middle_School_Avg_Score,High_School_Count,High_School_Avg_Score,Latitude,Longitude,EPA_Region,Population,Input_area(sq. miles),Particulate_Matter,Ozone,NATA*_Diesel_PM,NATA*_Air_Toxics_Cancer_Risk,NATA*_Respiratory_Hazard_Index,Traffic_Proximity_and_Volume,Lead_Paint_Indicator,Superfund_Proximity,RMP_Proximity,Hazardous_Waste_Proximity,Wastewater_Discharge_Indicator,Demographic_Index%,Minority_Population%,Low_Income_Population%,Linguistically_Isolated_Population%,Population_with_Less_Than_High_School_Education%,Population_under_Age_5%,Population_over_Age_64%,URL
936 Waterview Way,Champaign,IL,"""61822""","$830 - $1,120",NA,180+,Apartment,NA,(217) 919-2047,1,3,0,2,2,1,3,0,0,0,10,4,6,4,2,4,40.150457,-88.260069,5,5582,3.14,10.3,39,1.18,36,2.1,130,0.084,0.053,2.2,0.39,0.039,56,67,46,13,9,7,8,https://trulia.com/c/il//champaign/watersedge-apartments-936-waterview-way-champaign-il-61822--2059029065
105 S 3rd St,Champaign,IL,61820,"$1,499",NA,12,Single-Family Home,"1,800",(217) 649-0761,3,3,1,1,1,0,1,1,0,1,10,4,6,4,2,4,40.115727,-88.235446,5,34088,3.14,10.3,39,2.41,46,2.2,330,0.3,0.047,2.1,1.5,0.94,62,43,79,9,8,1,3,https://trulia.com/c/il//champaign/105-s-3rd-st-champaign-il-61820--1074958343
217 S Neil St,Champaign,IL,"""61820""","$1,120 - $1,950",NA,180+,Apartment,NA,(815) 768-3123,1,2,1,2,3,1,2,0,0,1,10,4,6,4,2,4,40.114719,-88.243549,5,31114,3.14,10.3,39.1,2.5,46,2.2,340,0.39,0.046,2,0.94,0.79,55,36,73,7,6,1,3,https://trulia.com/c/il//champaign/217-south-217-s-neil-st-champaign-il-61820--2105190460
51 E Green St,Champaign,IL,"""61820""","$1,160 - $1,710",2003,30,Apartment,NA,(217) 403-9651,2,3,1,2,3,1,2,0,0,1,10,5,6,4,2,4,40.110176,-88.240022,5,30357,3.14,10.3,39.1,2.48,47,2.3,310,0.34,0.046,1.9,1.1,0.88,57,36,77,8,6,1,3,https://trulia.com/c/il//champaign/51-e-green-51-e-green-st-champaign-il-61820--1011817522
512 W Clark St #1,Champaign,IL,61820,$890,1920,98,Multi-Family Home,950,(217) 390-4639,2,2,1,1,3,1,1,1,0,1,10,4,6,4,2,4,40.115342,-88.251521,5,20839,3.14,10.3,39.1,2.32,44,2.1,450,0.52,0.046,2.1,0.74,0.67,47,32,60,5,5,3,6,https://trulia.com/c/il//champaign/512-w-clark-st-1-champaign-il-61820--2172646616
612 Haines Blvd #1,Champaign,IL,61820,"$1,454",1945,12,Multi-Family Home,"1,732",(217) 840-0388,3,3,2,2,3,1,1,1,0,1,10,5,6,4,2,4,40.104373,-88.253641,5,19439,3.14,10.4,39.1,1.77,41,1.8,320,0.49,0.045,1.7,0.63,0.39,38,23,51,3,3,3,7,https://trulia.com/c/il//champaign/612-haines-blvd-1-champaign-il-61820--2346225985
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.895141,-84.346506,4,8450,3.14,10.1,35.5,1.25,55,2.3,600,0.059,0.011,0.15,0.18,0.0022,16,21,12,2,2,6,16,https://trulia.com/c/il//champaign/1004-n-james-st-champaign-il-61821--2105193562
2502 Fields South Dr,Champaign,IL,"""61822""","$965 - $1,410",2009,177,Apartment,NA,(217) 635-2191,1,3,1.5,3,0,2,2,0,0,3,10,5,6,4,2,5,40.082181,-88.308713,5,5477,3.14,10.3,39.3,0.915,30,1.1,210,0.068,0.037,0.28,0.13,0.017,19,27,10,3,2,4,16,https://trulia.com/c/il//champaign/windsor-west-2502-fields-south-dr-champaign-il-61822--2059023791
11 E Columbia Ave #503,Champaign,IL,61820,"$1,314",NA,<1,Multi-Family Home,840,(217) 352-3498,2,2,2,2,2,1,1,0,0,2,10,4,6,4,2,4,40.121056,-88.242804,5,22791,3.14,10.3,39,2.63,46,2.3,500,0.38,0.048,2.2,0.96,0.89,60,46,73,9,9,3,5,https://trulia.com/c/il//champaign/11-e-columbia-ave-503-champaign-il-61820--2346751681
2302 W John St,Champaign,IL,"""61821""","$699 - $1,090",NA,1,Apartment,NA,(217) 731-4171,1,3,1,2,3,1,1,0,0,2,10,4,6,4,2,5,40.109324,-88.284821,5,13100,3.14,10.3,39.2,1.31,36,1.5,260,0.37,0.042,1.5,0.19,0.038,36,37,34,4,5,8,13,https://trulia.com/c/il//champaign/victoria-point-2302-w-john-st-champaign-il-61821--1002218175
1534 Hedge Rd,Champaign,IL,61821,$700,NA,12,Single-Family Home,972,(217) 377-8850,3,3,1,1,2,1,3,0,0,0,10,4,6,4,2,5,40.132329,-88.272090,5,7599,3.14,10.3,39.1,1.61,36,1.8,490,0.38,0.048,4.1,0.34,0.09,57,55,59,7,13,8,10,https://trulia.com/c/il//champaign/1534-hedge-rd-champaign-il-61821--1005147867
306 W Hill St #10,Champaign,IL,61820,$550,NA,37,Multi-Family Home,NA,(217) 377-8850,1,1,1,1,2,1,1,0,0,2,10,4,6,4,2,4,40.119269,-88.247583,5,21832,3.14,10.3,39.1,2.53,46,2.3,490,0.44,0.047,2.2,0.85,0.79,54,40,68,7,7,3,5,https://trulia.com/c/il//champaign/306-w-hill-st-10-champaign-il-61820--2172996753
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.100688,-88.247488,5,21743,3.14,10.4,39.1,2.07,43,2,260,0.38,0.045,1.6,0.79,0.6,47,26,64,4,3,2,4,https://trulia.com/c/il//champaign/1316-alms-dr-champaign-il-61820--1044692874
2413 N Neil St,Champaign,IL,"""61820""","$581 - $1,046",NA,180+,Apartment,NA,NA,2,3,1,2,4,1,4,0,0,0,10,4,6,4,2,4,40.144573,-88.248507,5,5868,3.14,10.3,39,1.34,36,2,290,0.16,0.053,2.2,0.49,0.086,59,70,49,15,11,8,8,https://trulia.com/c/il//champaign/town-center-2413-n-neil-st-champaign-il-61820--2105190513
906 S Locust St,Champaign,IL,"""61820""",$595 - $975,NA,180+,Apartment,NA,(217) 634-2007,Studio,4,1,1,4,1,2,2,0,1,10,5,6,4,2,4,40.107375,-88.240255,5,27861,3.14,10.3,39.1,2.53,47,2.3,320,0.33,0.046,1.8,1,0.87,56,34,77,8,5,1,3,https://trulia.com/c/il//champaign/locust-iii-906-s-locust-st-champaign-il-61820--1049742406
705 S 1st St,Champaign,IL,"""61820""","$1,185 - $1,320",NA,180+,Apartment,NA,(217) 903-3615,3,4,1,"2 full, 1",4,1,2,2,0,1,10,5,6,4,2,4,40.109606,-88.238738,5,30568,3.14,10.3,39,2.47,47,2.3,320,0.32,0.046,1.9,1.2,0.89,58,37,78,9,6,1,2,https://trulia.com/c/il//champaign/705-s-1st-street-705-s-1st-st-champaign-il-61820--1049741670
202 E Chalmers St,Champaign,IL,"""61820""","$839 - $2,192",1995,30,Apartment,NA,(217) 866-1306,1,4,1,3,4,1,2,2,0,1,10,5,6,4,2,4,40.106566,-88.236750,5,34059,3.14,10.3,39,2.25,45,2.2,260,0.27,0.046,1.8,1.4,0.89,60,39,81,10,5,1,2,https://trulia.com/c/il//champaign/202-e-chalmers-202-e-chalmers-st-champaign-il-61820--1042501302
2001 Moreland Blvd,Champaign,IL,"""61822""","$929 - $1,209",NA,180+,Apartment,NA,(217) 566-4317,2,4,2,4,4,1,4,0,0,0,10,4,6,4,2,4,40.140091,-88.250886,5,7775,3.14,10.3,39,1.48,36,1.9,480,0.28,0.052,2.4,0.53,0.13,60,67,53,15,11,8,8,https://trulia.com/c/il//champaign/nantucket-cove-2001-moreland-blvd-champaign-il-61822--2000014124
1712 Gentry Square Ln,Champaign,IL,"""61821""","$866 - $1,349",1990,180+,Apartment,NA,(217) 354-9010,1,2,1,2.5,4,1,3,1,0,1,10,5,6,4,2,4,40.092690,-88.275847,5,12651,3.14,10.3,39.2,0.872,34,1.3,23,0.23,0.04,0.82,0.19,0.013,21,23,19,2,3,7,17,https://trulia.com/c/il//champaign/gentry-square-1712-gentry-square-ln-champaign-il-61821--2059017629
1005 N Prospect Ave,Champaign,IL,61820,"$1,000",1909,12,Single-Family Home,"2,000",(217) 637-5126,4,4,2,2,4,1,4,0,0,0,10,4,6,4,2,4,40.125806,-88.257988,5,12507,3.14,10.3,39.1,1.91,39,1.9,530,0.62,0.048,3.3,0.52,0.2,47,43,52,4,9,6,9,https://trulia.com/c/il//champaign/1005-n-prospect-ave-champaign-il-61820--1074830347
212 W Washington St,Champaign,IL,61820,$931,NA,113,Single-Family Home,NA,(217) 384-5555,3,3,2,2,2,2,2,0,0,3,10,4,6,4,2,4,40.120237,-88.246520,5,21354,3.14,10.3,39.1,2.56,46,2.3,520,0.43,0.047,2.2,0.88,0.81,56,43,69,8,7,3,5,https://trulia.com/c/il//champaign/212-w-washington-st-champaign-il-61820--1076376515
2009 Melrose Dr #A,Champaign,IL,61820,$965,NA,9,Multi-Family Home,"1,024",(217) 649-0829,2,2,2,2,4,1,3,1,0,1,10,5,6,4,2,4,40.085475,-88.254602,5,7925,3.14,10.4,39.1,0.716,33,1.2,98,0.14,0.04,0.64,0.24,0.034,17,18,16,2,2,6,21,https://trulia.com/c/il//champaign/2009-melrose-dr-a-champaign-il-61820--2178919724
310 S 1st St,Champaign,IL,61820,"$1,640",NA,44,Multi-Family Home,"1,118",(217) 493-3911,2,2,2,2,4,1,2,2,0,1,10,4,6,4,2,4,40.114193,-88.238663,5,32586,3.14,10.3,39,2.45,46,2.2,330,0.33,0.047,2.1,1.3,0.88,59,40,77,8,7,1,3,https://trulia.com/c/il//champaign/310-s-1st-st-champaign-il-61820--2329834272
706 Foley Ave,Champaign,IL,61820,$900,1940,2,Single-Family Home,812,(217) 378-7432,2,2,1,1,4,1,3,1,0,1,10,5,6,4,2,4,40.108428,-88.252935,5,23571,3.14,10.4,39.1,2.08,43,2,340,0.51,0.046,1.8,0.72,0.55,43,24,58,4,4,2,5,https://trulia.com/c/il//champaign/706-foley-ave-champaign-il-61820--2059011235
513 N Hickory St #103,Champaign,IL,61820,"$1,080",NA,2,Multi-Family Home,805,(217) 352-3498,1,1,1,1,2,2,2,0,0,3,10,4,6,4,2,4,40.120116,-88.242586,5,25422,3.14,10.3,39,2.64,47,2.3,470,0.38,0.047,2.2,0.96,0.86,60,44,74,8,8,2,5,https://trulia.com/c/il//champaign/513-n-hickory-st-103-champaign-il-61820--2284333101
807 Phoenix Dr,Champaign,IL,61820,"$1,450",1980,83,Single-Family Home,"1,600",(217) 649-0829,3,3,2,2,4,1,3,1,0,1,10,5,6,4,2,4,40.084062,-88.255767,5,7872,3.14,10.4,39.1,0.698,33,1.2,97,0.12,0.04,0.61,0.24,0.031,17,18,16,3,2,6,22,https://trulia.com/c/il//champaign/807-phoenix-dr-champaign-il-61820--1078724560
1120 Mayfair Rd,Champaign,IL,61821,"$1,600",NA,1,Single-Family Home,"2,073",(217) 419-1774,4,4,2,2,4,1,3,1,0,1,10,5,6,4,2,5,40.103701,-88.270491,5,12449,3.14,10.3,39.2,1.21,36,1.5,190,0.54,0.043,1.5,0.26,0.057,25,26,23,3,4,6,15,https://trulia.com/c/il//champaign/1120-mayfair-rd-champaign-il-61821--2059015412
804 N Neil St #209,Champaign,IL,61820,"$1,275",2011,2,Multi-Family Home,850,(217) 840-0459,2,2,2,2,2,2,2,0,0,3,10,4,6,4,2,4,40.123818,-88.243528,5,16314,3.14,10.3,39,2.47,45,2.2,540,0.43,0.048,2.4,0.93,0.67,59,53,65,10,9,4,7,https://trulia.com/c/il//champaign/804-n-neil-st-209-champaign-il-61820--2346612731
1831 Valley Rd #A,Champaign,IL,61820,$800,1968,2,Multi-Family Home,860,(217) 356-4012,2,2,1,1,4,1,3,1,0,1,10,5,6,4,2,4,40.095405,-88.249395,5,13212,3.14,10.4,39.1,1.28,37,1.6,200,0.37,0.044,1.3,0.58,0.23,35,22,42,2,2,3,8,https://trulia.com/c/il//champaign/1831-valley-rd-a-champaign-il-61820--2346619599
2311 Melrose Dr #A,Champaign,IL,61820,"$1,200",1983,14,Multi-Family Home,"1,124",(217) 714-1234,2,2,1,1,4,1,3,1,0,1,10,5,6,4,2,4,40.084318,-88.254796,5,7790,3.14,10.4,39.1,0.699,33,1.2,99,0.12,0.04,0.62,0.24,0.031,17,18,16,3,2,6,22,https://trulia.com/c/il//champaign/2311-melrose-dr-a-champaign-il-61820--2059005202
1216 Cambridge Dr,Champaign,IL,61821,"$1,200",1958,9,Lot size: 65.00 acres,"1,414",(312) 600-5518,3,3,1,1,4,1,3,1,0,1,10,5,6,4,2,5,40.102723,-88.272365,5,13139,3.14,10.3,39.2,1.14,36,1.5,150,0.47,0.042,1.4,0.24,0.045,25,27,23,3,4,6,16,https://trulia.com/c/il//champaign/1216-cambridge-dr-champaign-il-61821--2059015734
1732 Valley Rd,Champaign,IL,61820,$900,1968,2,Multi-Family Home,"1,000",(217) 356-4012,2,2,1,1,4,1,2,2,0,1,10,5,6,4,2,4,40.096543,-88.249285,5,14349,3.14,10.4,39.1,1.43,38,1.6,210,0.38,0.044,1.4,0.61,0.26,38,22,48,2,2,3,6,https://trulia.com/c/il//champaign/1732-valley-rd-champaign-il-61820--1029278905
1106 Maplepark Dr,Champaign,IL,61821,"$1,280",NA,8,Single-Family Home,"1,579",(217) 607-0432,3,3,2,2,1,3,2,1,0,3,10,4,6,4,2,5,40.104208,-88.294308,5,12128,3.14,10.3,39.2,1.19,34,1.4,260,0.2,0.041,1.2,0.17,0.027,37,38,36,4,5,7,13,https://trulia.com/c/il//champaign/1106-maplepark-dr-champaign-il-61821--2059015235
302 Buena Vista Dr #D,Champaign,IL,61820,$785,NA,28,Multi-Family Home,850,(217) 377-8850,2,2,1,1,4,1,2,2,0,1,10,5,6,4,2,4,40.101283,-88.246930,5,22916,3.14,10.4,39.1,2.17,44,2,260,0.37,0.045,1.7,0.82,0.68,49,27,66,4,3,2,4,https://trulia.com/c/il//champaign/302-buena-vista-dr-d-champaign-il-61820--2171834342
1786 Valley Rd,Champaign,IL,61820,$925,1968,2,Multi-Family Home,"1,000",(217) 356-4012,2,2,1,1,4,1,3,1,0,1,10,5,6,4,2,4,40.095917,-88.249282,5,13620,3.14,10.4,39.1,1.38,38,1.6,210,0.37,0.044,1.4,0.6,0.25,37,22,46,2,2,3,6,https://trulia.com/c/il//champaign/1786-valley-rd-champaign-il-61820--2346619604
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.094084,-88.283250,5,12601,3.14,10.3,39.2,0.946,34,1.4,36,0.22,0.04,0.83,0.18,0.013,25,28,21,2,4,6,17,https://trulia.com/c/il//champaign/1805-crescent-dr-champaign-il-61821--2059017881
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.084982,-88.254675,5,7714,3.14,10.4,39.1,0.704,33,1.2,98,0.13,0.04,0.63,0.24,0.033,17,18,16,3,2,6,22,https://trulia.com/c/il//champaign/2123-melrose-dr-b-champaign-il-61820--2179090346
1622 Valley Rd,Champaign,IL,61820,$900,1968,2,Multi-Family Home,"1,000",(217) 356-4012,2,2,1,1,4,1,3,1,0,1,10,5,6,4,2,4,40.097832,-88.249392,5,16123,3.14,10.4,39.1,1.59,40,1.7,230,0.39,0.044,1.5,0.65,0.33,40,23,53,2,2,2,5,https://trulia.com/c/il//champaign/1622-valley-rd-champaign-il-61820--2346619603
501 W Green St #3,Champaign,IL,61820,$825,NA,9,Multi-Family Home,"1,300",(217) 352-5509,3,3,1,1,4,1,3,1,0,1,10,5,6,4,2,4,40.110116,-88.250310,5,26967,3.14,10.4,39.1,2.31,45,2.1,330,0.46,0.046,1.9,0.82,0.69,48,29,64,5,4,2,4,https://trulia.com/c/il//champaign/501-w-green-st-3-champaign-il-61820--2171838044
1611 Valley Rd #E2,Champaign,IL,61820,$725,1968,7,Multi-Family Home,750,(217) 356-4012,2,2,1,1,4,1,3,1,0,1,10,5,6,4,2,4,40.097908,-88.249549,5,16187,3.14,10.4,39.1,1.59,40,1.7,230,0.39,0.044,1.5,0.65,0.33,40,23,53,2,2,2,5,https://trulia.com/c/il//champaign/1611-valley-rd-e2-champaign-il-61820--2346492302
1823 Valley Rd #D,Champaign,IL,61820,$800,1968,7,Multi-Family Home,860,(217) 356-4012,2,2,1,1,4,1,3,1,0,1,10,5,6,4,2,4,40.095498,-88.249395,5,13291,3.14,10.4,39.1,1.31,38,1.6,210,0.37,0.044,1.3,0.58,0.23,35,22,43,2,2,3,7,https://trulia.com/c/il//champaign/1823-valley-rd-d-champaign-il-61820--2059004238
1809 Valley Rd #A,Champaign,IL,61820,$800,1968,2,Multi-Family Home,860,(217) 356-4012,2,2,1,1,4,1,3,1,0,1,10,5,6,4,2,4,40.095661,-88.249396,5,13449,3.14,10.4,39.1,1.34,38,1.6,210,0.37,0.044,1.3,0.59,0.24,36,22,44,2,2,3,7,https://trulia.com/c/il//champaign/1809-valley-rd-a-champaign-il-61820--2346619602
1006 S Prairie St,Champaign,IL,61820,$850,NA,163,Single-Family Home,"1,476",(217) 356-8750,2,2,1,1,4,1,3,1,0,1,10,5,6,4,2,4,40.104342,-88.248364,5,24615,3.14,10.4,39.1,2.2,44,2.1,290,0.39,0.045,1.7,0.81,0.71,48,27,65,4,3,2,4,https://trulia.com/c/il//champaign/1006-s-prairie-st-champaign-il-61820--1044672713
513 N Hickory St #104,Champaign,IL,61820,"$1,065",NA,2,Multi-Family Home,829,(217) 352-3498,1,1,1,1,2,2,2,0,0,3,10,4,6,4,2,4,40.120116,-88.242586,5,25422,3.14,10.3,39,2.64,47,2.3,470,0.38,0.047,2.2,0.96,0.86,60,44,74,8,8,2,5,https://trulia.com/c/il//champaign/513-n-hickory-st-104-champaign-il-61820--2346615276
302 S 1st St,Champaign,IL,61820,$995,2018,44,Multi-Family Home,714,(217) 493-3911,1,1,1,1,4,1,2,2,0,1,10,4,6,4,2,4,40.114125,-88.238687,5,32946,3.14,10.3,39,2.44,46,2.2,330,0.33,0.047,2,1.3,0.87,59,40,77,8,7,1,3,https://trulia.com/c/il//champaign/302-s-1st-st-champaign-il-61820--2105190590
59 County Road 1600 N #22,Champaign,IL,61822,$900,NA,44,Multi-Family Home,NA,(217) 398-5899,2,2,1,1,0,0,0,0,0,0,4,3,2,8,0,NA,40.113207,-88.356555,5,432,3.14,10.3,39.2,0.374,26,0.79,52,0.36,0.035,0.2,0.071,0.00081,25,15,34,0,6,12,11,https://trulia.com/c/il//champaign/59-county-road-1600-n-22-champaign-il-61822--2334836990
1733 Valley Rd #C,Champaign,IL,61820,$800,1968,2,Multi-Family Home,860,(217) 356-4012,2,2,1,1,0,0,0,0,0,0,10,5,6,4,0,NA,40.096543,-88.249399,5,14389,3.14,10.4,39.1,1.43,38,1.6,210,0.38,0.044,1.4,0.61,0.26,38,22,48,2,2,3,6,https://trulia.com/c/il//champaign/1733-valley-rd-c-champaign-il-61820--2346612599
1106 N Hickory St,Champaign,IL,61820,"$1,050",NA,5,Single-Family Home,"1,700",(217) 239-4300,4,4,2,2,0,0,0,0,0,0,10,4,6,4,0,NA,40.126447,-88.242296,5,13812,3.14,10.3,39,2.05,41,2,560,0.43,0.05,2.5,0.98,0.39,62,60,65,12,9,4,7,https://trulia.com/c/il//champaign/1106-n-hickory-st-champaign-il-61820--2105189290
11 E Columbia Ave #305,Champaign,IL,61820,$986,NA,<1,Multi-Family Home,665,(217) 352-3498,1,1,1,1,0,0,0,0,0,0,10,4,6,4,0,NA,40.121056,-88.242804,5,22791,3.14,10.3,39,2.63,46,2.3,500,0.38,0.048,2.2,0.96,0.89,60,46,73,9,9,3,5,https://trulia.com/c/il//champaign/11-e-columbia-ave-305-champaign-il-61820--2346752125
3703 Summer Sage Ct,Champaign,IL,61822,"$1,200",2005,27,Townhome,"1,342",(217) 369-7429,2,2,2,2,0,0,0,0,0,0,10,4,6,4,0,NA,40.127092,-88.306074,5,6416,3.14,10.3,39.3,0.723,30,1.1,380,0.012,0.044,1.6,0.14,0.018,25,28,21,2,2,11,7,https://trulia.com/c/il//champaign/3703-summer-sage-ct-champaign-il-61822--1077393555
825 W Harvard St,Champaign,IL,61820,"$1,100",NA,18,Single-Family Home,"1,300",(217) 372-5853,3,3,2,2,0,0,0,0,0,0,10,4,6,4,0,NA,40.123922,-88.257321,5,13550,3.14,10.3,39.1,1.88,39,1.8,540,0.63,0.047,3.1,0.53,0.21,46,40,51,4,8,6,9,https://trulia.com/c/il//champaign/825-w-harvard-st-champaign-il-61820--2105193324
2009 Melrose Dr #A,Champaign,IL,61820,$965,NA,9,Multi-Family Home,"1,024",(217) 649-0829,2,2,2,2,0,0,0,0,0,0,10,5,6,4,0,NA,40.085475,-88.254602,5,7925,3.14,10.4,39.1,0.716,33,1.2,98,0.14,0.04,0.64,0.24,0.034,17,18,16,2,2,6,21,https://trulia.com/c/il//champaign/2009-melrose-dr-a-champaign-il-61820--2178919724
803 N Prospect Ave #B,Champaign,IL,61820,$745,NA,47,Multi-Family Home,NA,(217) 607-0432,2,2,1,1,0,0,0,0,0,0,10,4,6,4,0,NA,40.123188,-88.257956,5,13872,3.14,10.3,39.1,1.87,39,1.8,540,0.64,0.047,3.1,0.52,0.2,45,40,50,4,8,6,9,https://trulia.com/c/il//champaign/803-n-prospect-ave-b-champaign-il-61820--2288819055
1616 Valley Rd,Champaign,IL,61820,$900,1968,35,Multi-Family Home,"1,000",(217) 356-4012,2,2,1,1,0,0,0,0,0,0,0,NA,0,NA,0,NA,40.097900,-88.249416,5,16163,3.14,10.4,39.1,1.59,40,1.7,230,0.39,0.044,1.5,0.65,0.33,40,23,53,2,2,2,5,https://trulia.com/c/il//champaign/1616-valley-rd-champaign-il-61820--2340370222
402 Birch St,Champaign,IL,61820,$425,NA,22,Single-Family Home,"2,000",(217) 552-4062,4,4,3,3,0,0,0,0,0,0,10,5,6,4,0,NA,40.099961,-88.247852,5,21067,3.14,10.4,39.1,2.03,43,2,250,0.38,0.045,1.6,0.78,0.56,47,26,63,3,3,2,4,https://trulia.com/c/il//champaign/402-birch-st-champaign-il-61820--2059007428
