Address,City,State,Zip_Code,Rent_Per_Month,Year,Days_on_Trulia,Type,Sqft,Phone_Number,Bedroom_min,Bedroom_max,Bathroom_min,Bathroom_max,Assault,Arrest,Theft,Vandalism,Burglary,Crime_Other,Elementary_School_Count,Elementary_School_Avg_Score,Middle_School_Count,Middle_School_Avg_Score,High_School_Count,High_School_Avg_Score,Driving,Transit,Walking,Cycling,Restaurant,Groceries,Nightlife,Cafe,Shopping,Entertainment,Beauty,Active_life,Latitude,Longitude,EPA_Region,Population,Input_area.sq..miles.,Particulate_Matter,Ozone,NATA._Diesel_PM,NATA._Air_Toxics_Cancer_Risk,NATA._Respiratory_Hazard_Index,Traffic_Proximity_and_Volume,Lead_Paint_Indicator,Superfund_Proximity,RMP_Proximity,Hazardous_Waste_Proximity,Wastewater_Discharge_Indicator,Demographic_Index.,Minority_Population.,Low_Income_Population.,Linguistically_Isolated_Population.,Population_with_Less_Than_High_School_Education.,Population_under_Age_5.,Population_over_Age_64.,URL,Short_form_ID,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,UATYPE,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
2050 Sylvania Drive,Decatur,GA,30033.0,"$2,600 ",1949.0,43.0,Single-Family Home,"1,436",,3.0,3.0,2.0,2.0,31.0,3.0,109.0,,,,1.0,5.0,1.0,6.0,1.0,7.0,94.0,4.0,0.0,0.0,25.0,4.0,3.0,5.0,33.0,4.0,26.0,20.0,33.814051,-84.305417,4,10091,3.14,10.1,35.1,1.36,57,2.6,420.0,0.27,0.011,0.28,0.1,0.0,25,25,24,2,4,5,18,https://www.trulia.com/c/ca/p/ga/decatur/2050-sylvania-dr-decatur-ga-30033--1072053381,4047096799.0,13.0,89.0,21602.0,2028.0,130890216022028.0,Block 2028,G5040,U,3817.0,U,S,104031.0,0.0,33.813429799999994,-84.3040239
1639 Crestfield Lane,Lawrenceville,GA,30043.0,"$1,600 ",,4.0,Single-Family Home,"1,614",,3.0,3.0,2.0,2.0,67.0,104.0,222.0,,,,1.0,7.0,0.0,0.0,1.0,8.0,98.0,2.0,0.0,0.0,34.0,0.0,4.0,4.0,127.0,4.0,45.0,12.0,33.972189,-84.072694,4,9739,3.14,9.76,36.3,1.23,53,2.1,570.0,0.018000000000000002,0.009000000000000001,0.23,0.091,0.012,62,78,46,12,20,8,7,https://www.trulia.com/c/ca/p/ga/lawrenceville/1639-crestfield-ln-lawrenceville-ga-30043--1002155276,4048147214.0,13.0,135.0,50511.0,3017.0,131350505113017.0,Block 3017,G5040,U,3817.0,U,S,249241.0,0.0,33.970903799999995,-84.0728563
1470 Margate Court,Lawrenceville,GA,30043.0,"$1,495 ",,68.0,Single-Family Home,"1,751",,3.0,3.0,2.0,2.0,67.0,104.0,222.0,,,,1.0,7.0,0.0,0.0,1.0,8.0,98.0,2.0,0.0,0.0,24.0,0.0,3.0,4.0,123.0,4.0,34.0,10.0,33.970576,-84.069063,4,9494,3.14,9.76,36.3,1.23,53,2.1,570.0,0.018000000000000002,0.009000000000000001,0.23,0.091,0.012,62,78,46,12,20,8,7,https://www.trulia.com/c/ca/p/ga/lawrenceville/1470-margate-ct-lawrenceville-ga-30043--1071174813,4045647081.0,13.0,135.0,50511.0,2009.0,131350505112009.0,Block 2009,G5040,U,3817.0,U,S,1341645.0,4710.0,33.9687002,-84.06120390000002
2600 Golfview Terrace #A,Conyers,GA,30013.0,$850 ,1979.0,16.0,Multi-Family,,,3.0,3.0,2.0,2.0,1.0,,1.0,,,,1.0,5.0,1.0,5.0,1.0,4.0,96.0,2.0,0.0,0.0,23.0,1.0,1.0,2.0,17.0,0.0,21.0,3.0,33.619784,-83.977852,4,4701,3.14,9.79,35.7,0.935,50,2.0,38.0,0.027000000000000003,0.01,0.27,0.031,0.0005099999999999999,55,84,25,1,7,7,8,https://www.trulia.com/c/ca/p/ga/conyers/2600-golfview-ter-a-conyers-ga-30013--2353584459,4048334940.0,13.0,247.0,60307.0,1001.0,132470603071001.0,Block 1001,G5040,U,3817.0,U,S,32093.0,0.0,33.6199095,-83.9783838
3575 Oakvale Road #1103,Decatur,GA,30034.0,$825 ,,63.0,Multi-Family,"1,148",,3.0,3.0,2.0,2.0,334.0,30.0,403.0,,,,1.0,2.0,1.0,3.0,1.0,5.0,,,,,,,,,,,,,33.679555,-84.269755,4,6931,3.14,9.86,34.5,1.13,52,2.8,190.0,0.031,0.0099,0.33,0.18,2.6,70,96,44,0,5,8,4,https://www.trulia.com/c/ca/p/ga/decatur/3575-oakvale-rd-1103-decatur-ga-30034--2029401715,4046113928.0,13.0,89.0,23421.0,3001.0,130890234213001.0,Block 3001,G5040,U,3817.0,U,S,852247.0,0.0,33.6820912,-84.2632921
2784 Coventry Grn Southeast #B,Conyers,GA,30013.0,$975 ,1985.0,244.0,Single-Family Home,"1,800",,3.0,3.0,2.0,2.0,1.0,,1.0,,,,1.0,5.0,1.0,5.0,1.0,4.0,96.0,2.0,0.0,0.0,26.0,1.0,1.0,2.0,13.0,0.0,23.0,4.0,33.616513,-83.977003,4,6111,3.14,9.79,35.7,0.977,50,2.0,33.0,0.023,0.01,0.23,0.03,0.00063,57,85,29,1,6,7,7,https://www.trulia.com/c/ca/p/ga/conyers/2784-coventry-grn-se-b-conyers-ga-30013--2187412178,4036725942.0,13.0,247.0,60307.0,1006.0,132470603071006.0,Block 1006,G5040,U,3817.0,U,S,130140.0,0.0,33.617019899999995,-83.9773043
5104 Fairington Ridge Circle #5104,Lithonia,GA,30038.0,"$1,000 ",2006.0,21.0,,"1,292",,3.0,3.0,2.0,2.0,61.0,1.0,56.0,,,,1.0,2.0,1.0,3.0,1.0,3.0,95.0,5.0,0.0,0.0,21.0,1.0,1.0,2.0,17.0,0.0,7.0,2.0,33.698663,-84.152857,4,10478,3.14,9.85,35.2,1.63,53,2.4,730.0,0.035,0.0091,0.3,0.061,0.021,72,98,46,1,12,7,6,https://www.trulia.com/c/ca/p/ga/lithonia/5104-fairington-ridge-cir-5104-lithonia-ga-30038--2353161606,4048124150.0,13.0,89.0,23428.0,3003.0,130890234283003.0,Block 3003,G5040,U,3817.0,U,S,1623194.0,24301.0,33.695364500000004,-84.15641120000002
3409 Hyland Drive,Decatur,GA,30032.0,"$1,525 ",,13.0,Single-Family Home,"1,454",,3.0,3.0,2.0,2.0,339.0,62.0,301.0,,,,1.0,2.0,1.0,3.0,1.0,3.0,84.0,15.0,0.0,0.0,14.0,1.0,2.0,0.0,14.0,0.0,10.0,1.0,33.729956,-84.250451,4,9703,3.14,9.93,34.8,1.34,54,2.7,1300.0,0.35,0.01,0.14,0.098,0.0,74,94,54,0,18,7,17,https://www.trulia.com/c/ca/p/ga/decatur/3409-hyland-dr-decatur-ga-30032--2029381223,4045339160.0,13.0,89.0,23506.0,2015.0,130890235062015.0,Block 2015,G5040,U,3817.0,U,S,272165.0,0.0,33.7288301,-84.24893759999998
2638 Cove Way,Lawrenceville,GA,30044.0,"$1,395 ",,13.0,Single-Family Home,"1,320",,3.0,3.0,2.0,2.0,83.0,31.0,133.0,,,,1.0,6.0,1.0,6.0,0.0,0.0,97.0,2.0,0.0,0.0,10.0,1.0,0.0,0.0,7.0,1.0,12.0,0.0,33.918607,-84.064875,4,10208,3.14,9.8,36.2,1.11,52,2.1,66.0,0.02,0.0089,0.14,0.078,0.035,55,73,36,17,12,7,6,https://www.trulia.com/c/ca/p/ga/lawrenceville/2638-cove-way-lawrenceville-ga-30044--1072293093,4048465830.0,13.0,135.0,50532.0,2020.0,131350505322020.0,Block 2020,G5040,U,3817.0,U,S,159973.0,0.0,33.9185731,-84.06691190000002
10765 Indian Village Drive,Alpharetta,GA,30022.0,"$1,650 ",,33.0,Single-Family Home,,,3.0,3.0,2.0,2.0,96.0,89.0,376.0,,,,1.0,9.0,1.0,9.0,1.0,9.0,98.0,1.0,0.0,0.0,36.0,3.0,2.0,3.0,26.0,2.0,36.0,18.0,34.04412,-84.228819,4,11367,3.14,9.81,36.3,0.987,50,1.9,250.0,0.027000000000000003,0.01,0.34,0.11,0.00012,30,42,18,5,5,6,10,https://www.trulia.com/c/ca/p/ga/alpharetta/10765-indian-village-dr-alpharetta-ga-30022--1070527161,3224979369.0,13.0,121.0,11617.0,2016.0,131210116172016.0,Block 2016,G5040,U,3817.0,U,S,362597.0,0.0,34.0465287,-84.22746459999998
2543 Mistletoe Lane,Snellville,GA,30039.0,"$1,195 ",,7.0,Multi-Family,"1,086",,3.0,3.0,2.0,2.0,66.0,56.0,157.0,,,,1.0,5.0,1.0,6.0,1.0,3.0,98.0,1.0,0.0,0.0,28.0,1.0,4.0,0.0,31.0,1.0,16.0,5.0,33.833803,-84.052681,4,10176,3.14,9.81,36.0,1.05,53,2.1,330.0,0.019,0.0087,0.08199999999999999,0.051,0.0022,55,71,39,6,12,5,8,https://www.trulia.com/c/ca/p/ga/snellville/2543-mistletoe-ln-snellville-ga-30039--1044058306,4048666369.0,13.0,135.0,50725.0,3007.0,131350507253007.0,Block 3007,G5040,U,3817.0,U,S,45867.0,0.0,33.833269,-84.0526274
1773 Kimberly Drive Southwest,Marietta,GA,30008.0,"$1,795 ",1965.0,34.0,Single-Family Home,"1,420",,3.0,3.0,2.0,2.0,,28.0,132.0,,44.0,,1.0,7.0,1.0,5.0,1.0,3.0,94.0,3.0,0.0,0.0,12.0,2.0,0.0,1.0,10.0,3.0,9.0,4.0,33.909855,-84.586104,4,10650,3.14,9.99,35.3,0.884,50,1.9,1.7,0.049,0.015,0.13,0.036000000000000004,0.00046,62,72,60,7,24,6,5,https://www.trulia.com/c/ca/p/ga/marietta/1773-kimberly-dr-sw-marietta-ga-30008--1071487882,4047527017.0,13.0,67.0,30905.0,2006.0,130670309052006.0,Block 2006,G5040,U,3817.0,U,S,44515.0,0.0,33.910431,-84.58426800000002
70 Savoy Park Drive,Covington,GA,30014.0,"$1,245 ",,2.0,Single-Family Home,"1,293",,3.0,3.0,2.0,2.0,112.0,145.0,321.0,,,,1.0,5.0,1.0,4.0,1.0,4.0,99.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,33.412324,-83.848473,4,1129,3.14,9.74,36.1,0.469,46,1.7,2.7,0.13,0.014,0.085,0.021,0.0035,35,18,52,0,19,10,14,https://www.trulia.com/c/ca/p/ga/covington/70-savoy-park-dr-covington-ga-30014--1002649634,4037514690.0,13.0,217.0,100800.0,1058.0,132171008001058.0,Block 1058,G5040,R,,,S,61881.0,0.0,33.4130948,-83.848837
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.231147,-84.082654,4,3846,3.14,9.42,36.3,0.505,40,1.3,85.0,0.012,0.0089,0.35,0.033,2.1e-05,19,15,23,3,5,5,8,https://www.trulia.com/c/ca/p/ga/cumming/2630-magnolia-ave-cumming-ga-30041--1072289675,,13.0,117.0,130504.0,2012.0,131171305042012.0,Block 2012,G5040,U,3817.0,U,S,285022.0,0.0,34.2253336,-84.0821882
1101 Fairington Village Drive,Lithonia,GA,30038.0,$800 ,,6.0,Single-Family Home,"1,292",,3.0,3.0,2.0,2.0,61.0,1.0,56.0,,,,1.0,2.0,1.0,3.0,1.0,3.0,95.0,5.0,0.0,0.0,28.0,1.0,1.0,4.0,19.0,0.0,10.0,2.0,33.697963,-84.154689,4,10516,3.14,9.85,35.2,1.63,53,2.4,720.0,0.035,0.0091,0.29,0.061,0.021,72,98,46,1,12,7,6,https://www.trulia.com/c/ca/p/ga/lithonia/1101-fairington-village-dr-lithonia-ga-30038--1002509712,4048685734.0,13.0,89.0,23428.0,3003.0,130890234283003.0,Block 3003,G5040,U,3817.0,U,S,1623194.0,24301.0,33.695364500000004,-84.15641120000002
3741 Salem Meadows Drive,Lithonia,GA,30038.0,"$1,030 ",1998.0,6.0,Single-Family Home,"1,422",,3.0,3.0,2.0,2.0,61.0,1.0,56.0,,,,1.0,2.0,1.0,3.0,1.0,3.0,95.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,7.0,2.0,33.671809,-84.17129399999997,4,4268,3.14,9.83,35.2,1.05,50,2.2,20.0,0.032,0.0092,0.3,0.068,0.037000000000000005,64,96,33,3,8,5,8,https://www.trulia.com/c/ca/p/ga/lithonia/3741-salem-meadows-dr-lithonia-ga-30038--1003020845,4048684230.0,13.0,89.0,23418.0,2004.0,130890234182004.0,Block 2004,G5040,U,3817.0,U,S,1975309.0,15466.0,33.667660999999995,-84.17031800000002
311 Kent Road Southwest,Marietta,GA,30008.0,"$1,095 ",,6.0,Single-Family Home,"1,120",,3.0,3.0,2.0,2.0,,28.0,132.0,,44.0,,1.0,5.0,1.0,5.0,1.0,3.0,94.0,3.0,0.0,0.0,12.0,2.0,0.0,2.0,14.0,3.0,12.0,6.0,33.900265000000005,-84.598508,4,6809,3.14,9.99,35.2,0.852,50,1.9,4.5,0.04,0.016,0.11,0.035,0.00044,65,81,50,6,17,8,7,https://www.trulia.com/c/ca/p/ga/marietta/311-kent-rd-sw-marietta-ga-30008--2091705727,4048678653.0,13.0,67.0,30905.0,3011.0,130670309053011.0,Block 3011,G5040,U,3817.0,U,S,19515.0,0.0,33.89971729999999,-84.598539
2795 Wildflower Lane,Snellville,GA,30039.0,"$1,240 ",,63.0,Single-Family Home,"1,178",,3.0,3.0,2.0,2.0,66.0,56.0,157.0,,,,1.0,5.0,1.0,6.0,1.0,3.0,98.0,1.0,0.0,0.0,13.0,2.0,3.0,0.0,25.0,0.0,11.0,6.0,33.831551,-84.05032800000002,4,11428,3.14,9.81,36.0,1.04,52,2.1,290.0,0.025,0.0087,0.08199999999999999,0.05,0.0021,56,73,39,6,12,6,7,https://www.trulia.com/c/ca/p/ga/snellville/2795-wildflower-ln-snellville-ga-30039--1001988243,4009183427.0,13.0,135.0,50725.0,3005.0,131350507253005.0,Block 3005,G5040,U,3817.0,U,S,23285.0,0.0,33.8314348,-84.05101409999997
5218 Glenn Court Southwest,Lilburn,GA,30047.0,"$1,395 ",,10.0,Single-Family Home,"1,771",,3.0,3.0,2.0,2.0,61.0,40.0,178.0,,,,1.0,7.0,1.0,8.0,1.0,8.0,98.0,1.0,0.0,0.0,9.0,2.0,2.0,2.0,6.0,1.0,10.0,5.0,33.842794,-84.123092,4,6650,3.14,9.88,35.9,0.965,53,2.1,18.0,0.021,0.0093,0.14,0.067,0.0013,30,36,24,4,7,5,15,https://www.trulia.com/c/ca/p/ga/lilburn/5218-glenn-ct-sw-lilburn-ga-30047--2091752963,4048521760.0,13.0,135.0,50430.0,3000.0,131350504303000.0,Block 3000,G5040,U,3817.0,U,S,284516.0,0.0,33.8442527,-84.1227535
1951 Luke Edwards Road,Dacula,GA,30019.0,"$1,400 ",1996.0,3.0,Single-Family Home,"2,482",,3.0,3.0,2.0,2.0,22.0,11.0,55.0,,,,1.0,7.0,1.0,9.0,1.0,8.0,98.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.940647,-83.87579699999998,4,1854,3.14,9.66,36.2,0.767,45,1.6,44.0,0.031,0.0078,0.16,0.034,0.0,45,54,36,10,15,5,8,https://www.trulia.com/c/ca/p/ga/dacula/1951-luke-edwards-rd-dacula-ga-30019--1005203555,4036225959.0,13.0,135.0,50608.0,2014.0,131350506082014.0,Block 2014,G5040,U,3817.0,U,S,1019589.0,2016.0,33.940767,-83.88416109999999
105 Hidden Pines Drive,Covington,GA,30016.0,$950 ,,108.0,Single-Family Home,"1,074",,3.0,3.0,2.0,2.0,,,6.0,,169.0,,1.0,3.0,1.0,5.0,1.0,4.0,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.555953,-83.866979,4,1465,3.14,9.77,36.0,0.784,49,1.8,22.0,0.099,0.011,0.54,0.023,0.0015,56,52,60,2,20,2,11,https://www.trulia.com/c/ca/p/ga/covington/105-hidden-pines-dr-covington-ga-30016--1011672753,4022401132.0,13.0,217.0,100700.0,1014.0,132171007001014.0,Block 1014,G5040,U,3817.0,U,S,126881.0,0.0,33.557222,-83.86648890000002
5760 Millstone Drive,Cumming,GA,30028.0,"$1,500 ",1999.0,48.0,Single-Family Home,"1,484",,3.0,3.0,2.0,2.0,12.0,148.0,55.0,,,,1.0,8.0,1.0,9.0,1.0,7.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,34.310319,-84.075408,4,2514,3.14,9.2,36.1,0.5479999999999999,42,1.3,120.0,0.0083,0.0087,0.097,0.025,4.3e-08,20,17,23,1,13,9,12,https://www.trulia.com/c/ca/p/ga/cumming/5760-millstone-dr-cumming-ga-30028--1073856341,4046910088.0,13.0,117.0,130204.0,2003.0,131171302042003.0,Block 2003,G5040,U,3817.0,U,S,724441.0,0.0,34.3094668,-84.07606009999998
155 Forest Valley Road,Lawrenceville,GA,30046.0,"$1,300 ",1959.0,2.0,Single-Family Home,,,3.0,3.0,2.0,2.0,103.0,85.0,352.0,,,,1.0,5.0,1.0,5.0,1.0,5.0,97.0,2.0,0.0,0.0,27.0,3.0,1.0,1.0,40.0,1.0,16.0,4.0,33.937531,-83.990392,4,9435,3.14,9.73,36.3,1.08,52,2.1,200.0,0.052000000000000005,0.0084,0.26,0.054000000000000006,0.00067,55,56,53,7,21,8,16,https://www.trulia.com/c/ca/p/ga/lawrenceville/155-forest-valley-rd-lawrenceville-ga-30046--1004552783,4048915893.0,13.0,135.0,50522.0,1017.0,131350505221017.0,Block 1017,G5040,U,3817.0,U,S,138305.0,0.0,33.9358393,-83.9898308
